PartyBanter/&Cynical1_Trap_Detected_Self	Aspettare! Una trappola!
PartyBanter/&Serious5_Missed_Attack_Self	Morirai comunque!
PartyBanter/&Serious1_Kill_Enemy_Self	Vinco di nuovo.
PartyBanter/&Serious2_Kill_Enemy_Self	Hai perso.
PartyBanter/&Serious3_Kill_Enemy_Self	Vai all'inferno!
PartyBanter/&Serious4_Kill_Enemy_Self	Non tornerai.
PartyBanter/&Serious5_Kill_Enemy_Self	Non mi hai capito.
PartyBanter/&Serious1_Healed_by_ally_Self	Grazie.
PartyBanter/&Serious2_Healed_by_ally_Self	Mi ricorderò.
PartyBanter/&Serious3_Healed_by_ally_Self	Ti devo un favore.
PartyBanter/&Serious1_Allied_KnockedDown_Self	Dai!
PartyBanter/&Serious2_Allied_KnockedDown_Self	Non deludermi!
PartyBanter/&Serious3_Allied_KnockedDown_Self	No!
PartyBanter/&Serious1_Trap_Trigerred_Other	Che idiota!
PartyBanter/&Serious2_Trap_Trigerred_Other	Apri i tuoi dannati occhi!
PartyBanter/&Serious3_Trap_Trigerred_Other	Fai attenzione!
PartyBanter/&Serious1_Trap_Disarmed_Other	Ben fatto!
PartyBanter/&Serious2_Trap_Disarmed_Other	Un problema in meno.
PartyBanter/&Serious3_Trap_Disarmed_Other	Li odio!
PartyBanter/&Serious1_Long_Jump_Other	Era già qualcosa!
PartyBanter/&Serious2_Long_Jump_Other	Bel salto!
PartyBanter/&Serious3_Long_Jump_Other	Ben fatto!
PartyBanter/&Serious1_High_Climb_Other	Buone braccia che hai!
PartyBanter/&Serious2_High_Climb_Other	Non pensavo potessi farlo!
PartyBanter/&Serious3_High_Climb_Other	Ok, sei un duro.
PartyBanter/&Serious1_Break_Stealth_Other	Goffo!
PartyBanter/&Serious2_Break_Stealth_Other	Non ci credo!
PartyBanter/&Serious3_Break_Stealth_Other	Ci farai ammazzare tutti!
PartyBanter/&Serious1_Pushing_Heavy_Other	Avanti, più forte!
PartyBanter/&Serious2_Pushing_Heavy_Other	Spingere!
PartyBanter/&Serious1_Crawling_Other	Tuffati nella sporcizia, adesso.
PartyBanter/&Serious2_Crawling_Other	Strisciando nella sporcizia - niente di nuovo qui.
PartyBanter/&Serious1_Critical_Hit_Received_Other	Ti farai una bella cicatrice!
PartyBanter/&Serious2_Critical_Hit_Received_Other	Se non ti uccide ...
PartyBanter/&Serious1_Normal_Hit_Received_Other	Smettila!
PartyBanter/&Serious2_Normal_Hit_Received_Other	Affrontarla!
PartyBanter/&Serious1_Critical_Hit_Given_Other	Questo è il modo!
PartyBanter/&Serious2_Critical_Hit_Given_Other	Uccidili tutti!
PartyBanter/&Serious3_Critical_Hit_Given_Other	Schiacciali!
PartyBanter/&Serious1_Normal_Hit_Given_Other	Ancora! Più forte!
PartyBanter/&Serious2_Normal_Hit_Given_Other	Di più!
PartyBanter/&Serious3_Normal_Hit_Given_Other	Questa è battaglia!
PartyBanter/&Serious1_Missed_Attack_Other	Fai schifo!
PartyBanter/&Serious2_Missed_Attack_Other	Smettila!
PartyBanter/&Serious3_Missed_Attack_Other	Pensavo potessi combattere!
PartyBanter/&Serious1_Kill_Enemy_Other	Che mi piace!
PartyBanter/&Serious2_Kill_Enemy_Other	Continua a farli venire!
PartyBanter/&Serious3_Kill_Enemy_Other	Buona uccisione!
PartyBanter/&Heroic1_Trap_Detected_Self	Tienilo - vedo una trappola!
PartyBanter/&Heroic2_Trap_Detected_Self	Tutti congelati!
PartyBanter/&Heroic3_Trap_Detected_Self	Aspettare! Vedo una trappola.
PartyBanter/&Heroic1_Secret_door_Detected_Self	Amici! C'è una porta nascosta qui!
PartyBanter/&Heroic2_Secret_door_Detected_Self	Guarda quella - una porta segreta!
PartyBanter/&Heroic3_Secret_door_Detected_Self	Pensavo mi mancherai, eh?
PartyBanter/&Heroic1_Trap_Trigerred_Self	No!
PartyBanter/&Heroic2_Trap_Trigerred_Self	Scusa per quella cosa!
PartyBanter/&Heroic3_Trap_Trigerred_Self	Sono un tale idiota!
PartyBanter/&Heroic1_Trap_Disarmed_Self	Non era poi così male.
PartyBanter/&Heroic2_Trap_Disarmed_Self	Penso di averlo fatto.
PartyBanter/&Heroic3_Trap_Disarmed_Self	Missione compiuta.
PartyBanter/&Heroic1_Light_up_Self	La Luce è con noi.
PartyBanter/&Heroic2_Light_up_Self	La Luce ci guiderà.
PartyBanter/&Heroic3_Light_up_Self	Portiamo la luce nell'oscurità!
PartyBanter/&Heroic1_Break_Stealth_Self	Ops!
PartyBanter/&Heroic2_Break_Stealth_Self	Scusate!
PartyBanter/&Heroic3_Break_Stealth_Self	Lo so, lo so!
PartyBanter/&Heroic1_Critical_Hit_Given_Self	Arrenditi o muori!
PartyBanter/&Heroic2_Critical_Hit_Given_Self	Non prendo prigionieri!
PartyBanter/&Heroic3_Critical_Hit_Given_Self	Ti ucciderò.
PartyBanter/&Heroic1_Normal_Hit_Given_Self	Piega il ginocchio o muori!
PartyBanter/&Heroic2_Normal_Hit_Given_Self	Corri finchè puoi!
PartyBanter/&Heroic3_Normal_Hit_Given_Self	Non puoi vincere!
PartyBanter/&Heroic4_Normal_Hit_Given_Self	Sono imbattibile!
PartyBanter/&Heroic5_Normal_Hit_Given_Self	Non puoi sconfiggermi!
PartyBanter/&Heroic1_Missed_Attack_Self	Dannazione!
PartyBanter/&Heroic2_Missed_Attack_Self	Dai!
PartyBanter/&Heroic3_Missed_Attack_Self	Devo fare di meglio!
PartyBanter/&Heroic4_Missed_Attack_Self	Sto prendendo la misura di questo!
PartyBanter/&Heroic5_Missed_Attack_Self	La prossima volta!
PartyBanter/&Heroic1_Kill_Enemy_Self	Ancora una volta, vinciamo!
PartyBanter/&Heroic2_Kill_Enemy_Self	Un'altra vittoria! Questo è il destino!
PartyBanter/&Heroic3_Kill_Enemy_Self	Sei stato condannato.
PartyBanter/&Heroic4_Kill_Enemy_Self	Saresti dovuto fuggire.
PartyBanter/&Heroic5_Kill_Enemy_Self	Avresti dovuto cedere.
PartyBanter/&Heroic1_Healed_by_ally_Self	Sono in debito con te, amico mio.
PartyBanter/&Heroic2_Healed_by_ally_Self	Non lo dimenticherò.
PartyBanter/&Heroic3_Healed_by_ally_Self	Ti devo la mia vita.
PartyBanter/&Heroic1_Allied_KnockedDown_Self	Resisti alla vita, amico!
PartyBanter/&Heroic2_Allied_KnockedDown_Self	Non ti lasceremo morire!
PartyBanter/&Heroic3_Allied_KnockedDown_Self	Non lasciamo nessuno indietro!
PartyBanter/&Heroic1_Trap_Trigerred_Other	È necessaria una maggiore attenzione, amico!
PartyBanter/&Heroic2_Trap_Trigerred_Other	Ti manca la concentrazione.
PartyBanter/&Heroic3_Trap_Trigerred_Other	Un po 'di cautela qui, per favore?
PartyBanter/&Heroic1_Trap_Disarmed_Other	Buon lavoro!
PartyBanter/&Heroic2_Trap_Disarmed_Other	Ben fatto, amico!
PartyBanter/&Heroic3_Trap_Disarmed_Other	Le tue abilità sono impressionanti!
PartyBanter/&Heroic1_Long_Jump_Other	Che salto fantastico!
PartyBanter/&Heroic2_Long_Jump_Other	Ti sei allenato bene!
PartyBanter/&Heroic3_Long_Jump_Other	Sono impressionato!
PartyBanter/&Heroic1_High_Climb_Other	È impressionante.
PartyBanter/&Heroic2_High_Climb_Other	Sei straordinariamente in forma.
PartyBanter/&Heroic3_High_Climb_Other	Ti ho sottovalutato. Le mie scuse!
PartyBanter/&Heroic1_Break_Stealth_Other	Non è stato intelligente.
PartyBanter/&Heroic2_Break_Stealth_Other	Dovrai fare di meglio!
PartyBanter/&Heroic3_Break_Stealth_Other	Più cautela la prossima volta!
PartyBanter/&Heroic1_Pushing_Heavy_Other	Con tutte le tue forze!
PartyBanter/&Heroic2_Pushing_Heavy_Other	Puoi farlo!
PartyBanter/&Heroic1_Crawling_Other	A volte semplicemente non c'è scelta.
PartyBanter/&Heroic2_Crawling_Other	Neanche a me piace.
PartyBanter/&Heroic1_Critical_Hit_Received_Other	Coraggio!
PartyBanter/&Heroic2_Critical_Hit_Received_Other	Sei ancora in piedi!
PartyBanter/&Heroic1_Normal_Hit_Received_Other	Puoi prenderlo!
PartyBanter/&Heroic2_Normal_Hit_Received_Other	Scuotilo di dosso!
PartyBanter/&Heroic1_Critical_Hit_Given_Other	Questo è il modo!
PartyBanter/&Heroic2_Critical_Hit_Given_Other	Magistrale!
PartyBanter/&Heroic3_Critical_Hit_Given_Other	Vincerai sicuramente!
PartyBanter/&Heroic1_Normal_Hit_Given_Other	Ben colpito!
PartyBanter/&Heroic2_Normal_Hit_Given_Other	Perfetto!
PartyBanter/&Heroic3_Normal_Hit_Given_Other	Vai avanti!
PartyBanter/&Heroic1_Missed_Attack_Other	La prossima volta sarai più fortunato!
PartyBanter/&Heroic2_Missed_Attack_Other	Non perdere la speranza!
PartyBanter/&Heroic3_Missed_Attack_Other	Solo sfortuna!
PartyBanter/&Heroic1_Kill_Enemy_Other	La vittoria è tua!
PartyBanter/&Heroic2_Kill_Enemy_Other	Mossa impressionante, amico mio!
PartyBanter/&Heroic3_Kill_Enemy_Other	Nessuno ha le tue capacità, bravo!
PartyBanter/&Formal1_Trap_Detected_Self	Una rozza trappola.
PartyBanter/&Formal2_Trap_Detected_Self	Non saremo ingannati così facilmente.
PartyBanter/&Formal3_Trap_Detected_Self	Ho individuato una specie di trappola.
PartyBanter/&Formal1_Secret_door_Detected_Self	Credo che ci sia una porta nascosta.
PartyBanter/&Formal2_Secret_door_Detected_Self	Questo deve essere un passaggio segreto.
PartyBanter/&Formal3_Secret_door_Detected_Self	Interessante: una porta segreta.
PartyBanter/&Formal1_Trap_Trigerred_Self	Che sciocco da parte mia!
PartyBanter/&Formal2_Trap_Trigerred_Self	Come potrei perderlo?
PartyBanter/&Formal3_Trap_Trigerred_Self	Devo davvero stare più attento.
PartyBanter/&Formal1_Trap_Disarmed_Self	Quella era la semplicità stessa!
PartyBanter/&Formal2_Trap_Disarmed_Self	Non è così faticoso come mi aspettavo.
PartyBanter/&Formal3_Trap_Disarmed_Self	Geniale, ma non imbattibile.
PartyBanter/&Formal1_Light_up_Self	Un po 'di luce è sempre gradita.
PartyBanter/&Formal2_Light_up_Self	Sia la luce!
PartyBanter/&Formal3_Light_up_Self	Beati i Portatori di Luce!
PartyBanter/&Formal1_Break_Stealth_Self	Maledizioni! Colpa mia.
PartyBanter/&Formal2_Break_Stealth_Self	Pensavo davvero di ... non importa.
PartyBanter/&Formal3_Break_Stealth_Self	Che fastidio.
PartyBanter/&Formal1_Critical_Hit_Given_Self	Hah! Prendi quello, demone!
PartyBanter/&Formal2_Critical_Hit_Given_Self	Proprio dove fa più male!
PartyBanter/&Formal3_Critical_Hit_Given_Self	La morte ti raggiunge!
PartyBanter/&Formal1_Normal_Hit_Given_Self	Non male, eh?
PartyBanter/&Formal2_Normal_Hit_Given_Self	Un modesto successo!
PartyBanter/&Formal3_Normal_Hit_Given_Self	Un colpo palpabile!
PartyBanter/&Formal4_Normal_Hit_Given_Self	Fortunato? Forse.
PartyBanter/&Formal5_Normal_Hit_Given_Self	Mi sono allenato duramente per questo!
PartyBanter/&Formal1_Missed_Attack_Self	La fortuna è volubile!
PartyBanter/&Formal2_Missed_Attack_Self	Molto sfortunato, quello.
PartyBanter/&Formal3_Missed_Attack_Self	Solo l'ultimo colpo conta!
PartyBanter/&Formal4_Missed_Attack_Self	La prossima volta, lo giuro ...
PartyBanter/&Formal5_Missed_Attack_Self	Ti prendo ancora!
PartyBanter/&Formal1_Kill_Enemy_Self	Un nemico a terra!
PartyBanter/&Formal2_Kill_Enemy_Self	La morte ti reclama!
PartyBanter/&Formal3_Kill_Enemy_Self	La vittoria è mia!
PartyBanter/&Formal4_Kill_Enemy_Self	Una vittoria degna di una canzone!
PartyBanter/&Formal5_Kill_Enemy_Self	Un'altra vittoria!
PartyBanter/&Formal1_Healed_by_ally_Self	Sei un vero salvatore.
PartyBanter/&Formal2_Healed_by_ally_Self	Sei un prezioso compagno.
PartyBanter/&Formal3_Healed_by_ally_Self	Sono in debito con te, amico mio.
PartyBanter/&Formal1_Allied_KnockedDown_Self	La lotta non è ancora finita!
PartyBanter/&Formal2_Allied_KnockedDown_Self	I tuoi compagni ti salveranno!
PartyBanter/&Formal3_Allied_KnockedDown_Self	Stiamo arrivando!
PartyBanter/&Formal1_Trap_Trigerred_Other	Tsk. Un errore elementare.
PartyBanter/&Formal2_Trap_Trigerred_Other	Guarda il tuo passo, amico!
PartyBanter/&Formal3_Trap_Trigerred_Other	Un errore pericoloso.
PartyBanter/&Formal1_Trap_Disarmed_Other	Perfettamente eseguito!
PartyBanter/&Formal2_Trap_Disarmed_Other	Le mie congratulazioni per l'ottimo lavoro.
PartyBanter/&Formal3_Trap_Disarmed_Other	La tua abilità è impressionante.
PartyBanter/&Formal1_Long_Jump_Other	Un salto straordinario!
PartyBanter/&Formal2_Long_Jump_Other	Più impressionante!
PartyBanter/&Formal3_Long_Jump_Other	Tale atletismo!
PartyBanter/&Formal1_High_Climb_Other	Che forza!
PartyBanter/&Formal2_High_Climb_Other	Sembra facile!
PartyBanter/&Formal3_High_Climb_Other	Chiaramente ti sei allenato bene.
PartyBanter/&Formal1_Break_Stealth_Other	Anche i morti potrebbero sentirti!
PartyBanter/&Formal2_Break_Stealth_Other	Certo che sei stato rilevato!
PartyBanter/&Formal3_Break_Stealth_Other	Forse se invece provassi ad essere forte?
PartyBanter/&Formal1_Pushing_Heavy_Other	Puoi farlo!
PartyBanter/&Formal2_Pushing_Heavy_Other	Tira su, ora - tutta la tua forza!
PartyBanter/&Formal1_Crawling_Other	Poco dignitoso, ma necessario.
PartyBanter/&Formal2_Crawling_Other	Inginocchiarsi ora, alzarsi più tardi.
PartyBanter/&Formal1_Critical_Hit_Received_Other	Sei ancora con noi?
PartyBanter/&Formal2_Critical_Hit_Received_Other	È stato un colpo fortunato!
PartyBanter/&Formal1_Normal_Hit_Received_Other	Tieni duro: hai sopportato di peggio!
PartyBanter/&Formal2_Normal_Hit_Received_Other	Sei ancora in lotta, amico mio!
PartyBanter/&Formal1_Critical_Hit_Given_Other	Un colpo decisivo!
PartyBanter/&Formal2_Critical_Hit_Given_Other	Un bel colpo!
PartyBanter/&Formal3_Critical_Hit_Given_Other	Veramente formidabile!
PartyBanter/&Formal1_Normal_Hit_Given_Other	Ben colpito!
PartyBanter/&Formal2_Normal_Hit_Given_Other	Ben fatto!
PartyBanter/&Formal3_Normal_Hit_Given_Other	Li hai adesso!
PartyBanter/&Formal1_Missed_Attack_Other	Oh! Sfortuna!
PartyBanter/&Formal2_Missed_Attack_Other	La prossima volta!
PartyBanter/&Formal3_Missed_Attack_Other	Riprova!
PartyBanter/&Formal1_Kill_Enemy_Other	Bravo! La vittoria è tua!
PartyBanter/&Formal2_Kill_Enemy_Other	Una buona uccisione, come si suol dire.
PartyBanter/&Formal3_Kill_Enemy_Other	Un nemico in meno!
