NPC/&Kaseinax_Magister_Title	Il Magister
NPC/&NPC_HeatherMerranTitle	Capitano Heather Merran
NPC/&NPC_HectorTitle	Ettore
NPC/&NPC_HeddlonSurespellTitle	Heddlon Surespell
NPC/&NPC_Hieronymus	Eroe sconosciuto
NPC/&NPC_HugoRequerTitle	Hugo Requer
NPC/&NPC_IdrielFairbrowTitle	Idriel Fairbrow
NPC/&NPC_IlastarKeenmindAirgetineDescription	Ilastar è un membro della nobile casata Airgetine, i cui antenati erano maghi dell'Arcano. Come per molte famiglie imperiali di quel tempo, la sua famiglia era originariamente un ramo minore del clan e iniziò a salire alla ribalta dopo il cataclisma, poiché appoggiò il primo imperatore ("L'imperatore lamentoso") che prese le decisioni difficili che alla fine portarono a la sopravvivenza della civiltà e l'ascesa del Nuovo Impero. Più di chiunque altro della sua generazione, Ilastar è consapevole di ciò che è andato perduto ed è stato uno dei principali fautori della partecipazione al Consiglio, nella speranza di raccogliere materiali e scritti magici espandendo la sua conoscenza della magia e dando così all'impero un vantaggio nei conflitti futuri . La sua principale preoccupazione è che i documenti storici vengano alla ribalta, rivelando alcune verità che è meglio lasciar perdere.
NPC/&NPC_IlastarKeenmindAirgetineTitle	Maestro Ilastar Keenmind Airgetine
NPC/&NPC_IolairFaisechTitle	Dean Iolair Faisech
NPC/&NPC_JorielFoxeyeTitle	Joriel Foxeye
NPC/&NPC_KarelMartelTitle	Karel Martel
NPC/&NPC_Kiaradth_Bright_SparkTitle	Il sindaco Kiaradth Bright-Spark
NPC/&NPC_Kythaela_Title	Kythaela
NPC/&NPC_LeiraKeanDescription	Leira Kean è nata e cresciuta a Heart of Valor, la città costruita intorno all'Einareum. Ha scoperto Einar abbastanza presto nella sua vita e molti pensavano che sarebbe diventata una brava sacerdotessa. Invece ha scelto la via del paladino, impegnando la sua vita per proteggere Solasta da tutti i pericoli legati a Sorr-Akkath. Leira è una paladina devota con la serietà impressa sul suo viso. È esperta di storia e parla correntemente l'antico Tirmarian. È una brava combattente ma anche un acuto giudice del carattere. È giusta e ascolta e decide in base ai fatti, non per sentito dire o dicerie. Questi tratti l'hanno portata alla nomina nel Consiglio come Custode del Giuramento.
NPC/&NPC_LeiraKeanTitle	Protettrice Leira Kean
NPC/&NPC_LenaTitle	Lena
NPC/&NPC_LiamTitle	Liam
NPC/&NPC_LisbathTownsendTitle	Lisbath Townsend
NPC/&NPC_Lizzaria_Title	Lizzaria di Grimhold
NPC/&NPC_LordCarranTitle	Lord Carran
NPC/&NPC_MaddyGreenisleTitle	Maddy Greenisle
NPC/&NPC_Mardracht_Title	Maestro Mardracht
NPC/&NPC_MedwalStrongfireTitle	Medwal Strongfire
NPC/&NPC_MordenKyreTitle	Morden Kyre
NPC/&NPC_NecromancerAcolyteTitle	Accolito Negromante
NPC/&NPC_NecromancerTitle	Negromante
NPC/&NPC_Nikannen_Title	Joris Nikannen
NPC/&NPC_Priest_Of_ArunTitle	Sacerdote di Arun
NPC/&NPC_Priest_Of_EinarTitle	Sacerdote di Einar
NPC/&NPC_Priest_Of_MaraikeTitle	Sacerdote di Maraike
NPC/&NPC_Priest_Of_PakriTitle	Sacerdotessa di Pakri
NPC/&NPC_RazanTitle	Razan
NPC/&NPC_RobarSharpTitle	Robar Sharp
NPC/&NPC_Talbut_Title	Talbut il Grigio
NPC/&NPC_TEMP_Quest_GiverTitle	TEMP_Quest_Giver
NPC/&NPC_VerissaIronshellTitle	Capitano Verissa Ironshell
NPC/&NPC_Wilf_Title	Wilf Warmhearth
NPC/&NPC_NecromancerBoneKeepTitle	Dark Apprentice
NPC/&NPC_NecromancerBoneKeepDescription	Un negromante pericoloso ma non ancora del tutto istruito, probabilmente uno studente di un maestro più esperto residente nelle vicinanze.
NPC/&Milan_ScavengersTitle	Milano
NPC/&NPC_Ceannard_Title	Ceannard
NPC/&NPC_Kebra_Title	Kebra
NPC/&NPC_Brok_Title	Brok
NPC/&NPC_Arbal_Title	Arbal
NPC/&NPC_Mildred_Title	Mildred Warmhearth
NPC/&NPC_Maid_Title	domestica
NPC/&NPC_CoparannGuardSorakAgentTitle	Guardia corrotta
NPC/&NPC_Gromnir_SorakTitle	Sorak Infiltrator
NPC/&NPC_Spectral_Servant_Title	Servitore Spettrale
NPC/NPC_Bitterroot_Title	Bitterroot
NPC/&NPC_Dackin_Title	Maestro Dackin
NPC/&NPC_Adria_Title	Adria
NPC/&NPC_Lyria_Title	Lyria
NPC/&NPC_Drew_Title	Ha disegnato
NPC/&NPC_Notary_Title	Notaio
NPC/&NPC_MajorGateOfficer_Title	Maggiore ufficiale di gate
NPC/&NPC_MajorGateOfficer_Description	Interagisci per utilizzare la Porta Maggiore.
NPC/&NPC_SpeakRavensworth_Description	Parla per entrare nella residenza.
NPC/&NPC_Edrof_Title	Edrof
NPC/&NPC_Radulf_Title	Radulf
NPC/&NPC_Urka_Title	Urka
NPC/&NPC_Galaefin	Galaefin
NPC/&NPC_GalaefinsButler	Maggiordomo
NPC/&NPC_Illoreth	Illoreth
NPC/&NPC_Stig_Title	Stig
NPC/&NPC_CaporalDan_Title	Caporale Dann
NPC/&NPC_PrivateGarth_Title	Private Garth
NPC/&NPC_ShieldguardTradtsson_Title	Shieldguard Tradtsson
NPC/&NPC_PrivateRodric_Title	Rodric
NPC/&NPC_Bertram	Bertram
NPC/&NPC_CaerLemGarrison	Council Trooper
NPC/&NPC_Priest_Of_MisayeTitle	Nel
NPC/&NPC_Coparann_Archivist_Title	Archivista
NPC/&NPC_Arrok_Title	Arrok
NPC/&NPC_Joran_Title	Joran Crawley
NPC/&NPC_GenericSorakInfiltrator_Title	Sorak Infiltrator
NPC/&NPC_Belmont_Title	Lord Belmont
NPC/&NPC_CityGuard_Embassy_Empire_Title	Nuova guardia dell'ambasciata dell'Impero
NPC/&NPC_CityGuard_Embassy_Gallivan_Title	Guardia dell'ambasciata gallivana
NPC/&NPC_Priest_Of_MisayeDescription	Sacerdote di Misaye
NPC/&NPC_Scavenger_TOM_Title	Ramin Blake
NPC/&NPC_Council_Trooper_Title	Legacy Council Trooper
NPC/&GunnarElderen_Title	Gunnar Elderen
NPC/&NPC_Galaefin_Plaque_Title	Maestro Galaefin, filosofo, pari del regno.
NPC/&AllanMiller_Title	Allan Miller
