Rules/&AbilityAndSkillFormat	{0} ({1})
Rules/&ConditionBlurredDescription	Gli attacchi alle creature hanno svantaggio.
Rules/&ConditionBlurredTitle	Sfocato
Rules/&ConditionBrandedDescription	Emette luce; non può diventare invisibile.
Rules/&ConditionBrandedTitle	Di marca
Rules/&ConditionBullsStrengthDescription	Vantaggio sui tiri salvezza sulla Forza.
Rules/&ConditionCatsGraceDescription	Vantaggio sui tiri salvezza su Destrezza e danni da caduta ridotti.
Rules/&ConditionCharmedByHypnoticPatternDescription	Inabilitato e la velocità è 0, finché non si ferisce o si sveglia.
Rules/&ConditionCharmedByHypnoticPatternTitle	Affascinato dall'ipnosi
Rules/&ConditionCharmedDescription	Considera il lanciatore un alleato.
Rules/&ConditionCharmedTitle	Ammaliato
Rules/&ConditionChilledDescription	Non si possono guadagnare punti ferita. Se non morto, svantaggio nell'attaccare l'incantatore.
Rules/&ConditionChilledTitle	Freddo
Rules/&ConditionCriticalCharacterDescription	Se questo personaggio muore, il gioco finisce.
Rules/&ConditionCriticalCharacterTitle	Carattere critico
Rules/&ConditionCursedActionDescription	Deve effettuare un tiro salvezza con saggezza per agire.
Rules/&ConditionCursedActionTitle	Maledetto (Azione)
Rules/&ConditionCursedAttackRollDescription	Svantaggio del tiro per colpire contro l'incantatore.
Rules/&ConditionCursedAttackRollTitle	Maledetto (Tiro per l'Attacco)
Rules/&ConditionCursedCharismaDescription	Svantaggio sui tiri salvezza CHA e sulle prove di abilità.
Rules/&ConditionCursedCharismaTitle	Maledetto (Carisma)
Rules/&ConditionCursedConstitutionDescription	Svantaggio sui tiri salvezza CON e sulle prove di abilità.
Rules/&ConditionCursedConstitutionTitle	Maledetta (Costituzione)
Rules/&ConditionCursedDamageDescription	Gli attacchi e gli incantesimi dell'incantatore contro il bersaglio infliggono 1d8 danni necrotici extra.
Rules/&ConditionCursedDamageTitle	Maledetto (danno)
Rules/&ConditionCursedDexterityDescription	Svantaggio nei tiri salvezza DEX e nei test di abilità.
Rules/&ConditionCursedDexterityTitle	Maledetta (destrezza)
Rules/&ConditionCursedIntelligenceDescription	Svantaggio nei tiri salvezza INT e nelle prove di abilità.
Rules/&ConditionCursedIntelligenceTitle	Maledetta (Intelligenza)
Rules/&ConditionCursedStrengthDescription	Svantaggio nei tiri salvezza STR e nei test di abilità.
Rules/&ConditionCursedStrengthTitle	Maledetto (Forza)
Rules/&ConditionCursedTitle	Maledetto
Rules/&ConditionCursedWisdomDescription	Svantaggio nei tiri salvezza e nelle prove di abilità WIS.
Rules/&ConditionCursedWisdomTitle	Maledetta (saggezza)
Rules/&ConditionDarkvisionDescription	Vedi normalmente in penombra e nell'oscurità naturale come in penombra.
Rules/&ConditionDarkvisionTitle	Darkvision
Rules/&ConditionDazzledDescription	Non può accettare reazioni e ha una penalità di -2 Classe Armatura.
Rules/&ConditionDazzledTitle	Abbagliato
Rules/&ConditionDeadDescription	Non può agire finché non viene rianimato o resuscitato.
Rules/&ConditionDeadTitle	Morto
Rules/&ConditionDeafenedDescription	Non riesco a sentire niente.
Rules/&ConditionDeafenedTitle	Assordato
Rules/&ConditionDetectEvilandGoodDescription	Rilevato come aberrazione, celeste, elementale, folletto, demone o non morto.
Rules/&ConditionDetectEvilandGoodTitle	Riconosciuto come cattivo / buono
Rules/&ConditionDetectMagicDescription	In grado di rilevare la magia nelle vicinanze.
Rules/&ConditionDetectMagicTitle	Rileva Magic
Rules/&ConditionDiscipleImmuneColdDescription	Immune ai danni da freddo e riguadagna HP dal freddo.
Rules/&ConditionDiscipleImmuneColdTitle	Studioso degli elementi (freddo)
Rules/&ConditionDiscipleImmuneFireDescription	Immune ai danni da fulmine e recupera HP dai fulmini.
Rules/&ConditionDiscipleImmuneFireTitle	Studioso degli elementi (fuoco)
Rules/&ConditionDiscipleImmuneLightningDescription	Immune ai danni da fuoco e riguadagna HP dal fuoco.
Rules/&ConditionDiscipleImmuneLightningTitle	Studioso degli elementi (fulmine)
Rules/&ConditionDiseasedDescription	La creatura è affetta da una malattia.
Rules/&ConditionDiseasedTitle	Malato
Rules/&ConditionDisengagingDescription	Insensibile agli attacchi di opportunità.
Rules/&ConditionDisengagingTitle	Disimpegnarsi
Rules/&ConditionDivineFavorDescription	Infligge 1d4 danni radianti aggiuntivi.
Rules/&ConditionDivineFavorTitle	Favore divino
Rules/&ConditionDivinelyRevealedDescription	Il tipo e la posizione della creatura sono noti all'incantatore di questo effetto.
Rules/&ConditionDivinelyRevealedTitle	Divinamente rivelato
Rules/&ConditionDodgingDescription	Gli attacchi alle creature hanno svantaggio.
Rules/&ConditionDodgingTitle	Schivare
Rules/&ConditionDyingDescription	Morirà presto a meno che non si stabilizzi.
Rules/&ConditionDyingTitle	Sta morendo
Rules/&ConditionEncumberedDescription	La velocità è ridotta di 2.
Rules/&ConditionEncumberedTitle	Ingombro
Rules/&ConditionEnfeebledDescription	Metà del danno sugli attacchi basati su STR.
Rules/&ConditionEnfeebledTitle	Indebolito
Rules/&ConditionEntangledTitle	Impigliato
Rules/&ConditionExhaustedDescription	Indebolito dall'esaurimento.
Rules/&ConditionExhaustedTitle	Esausto
Rules/&ConditionExpeditiousRetreatDescription	Può scattare come azione bonus.
Rules/&ConditionExpeditiousRetreatTitle	Ritiro rapido
Rules/&ConditionFalseLifeDescription	Punti ferita temporanei aggiuntivi.
Rules/&ConditionFalseLifeTitle	Falsa vita
Rules/&ConditionFeatherFallingDescription	Non può essere ferito dalle cadute.
Rules/&ConditionFeatherFallingTitle	Piuma che cade
Rules/&ConditionFlyingDescription	La creatura bersaglio ottiene una velocità di volo di 12 caselle per azione di movimento.
Rules/&ConditionFlyingTitle	Volare
Rules/&ConditionForceOfLawDescription	Imponi svantaggio al prossimo tiro salvezza del bersaglio.
Rules/&ConditionForceOfLawTitle	Forza della legge
Rules/&ConditionFormAddBeneficialFormat	Sovvenzioni: {0}
Rules/&ConditionFormAddDetrimentalFormat	Infligge: {0}
Rules/&ConditionFormAddNeutralFormat	Diventa: {0}
Rules/&ConditionFormRemoveDetrimentalAllFormat	Rimuove tutte le occorrenze di queste condizioni: {0}.
Rules/&ConditionFormRemoveDetrimentalRandomFormat	Rimuove un'occorrenza casuale di queste condizioni: {0}.
Rules/&ConditionFormRemoveFormat	Rimuove: {0}
Rules/&ConditionFrightenedDescription	Incapace di avvicinarsi alla fonte della paura, svantaggio nei tiri per colpire e nelle prove di abilità.
Rules/&ConditionFrightenedFearDescription	Deve scappare dalla fonte della paura.
Rules/&ConditionFrightenedFearTitle	Spaventato (paura)
Rules/&ConditionFrightenedTitle	Spaventato
Rules/&ConditionGateKeeperDescription	Vantaggio ai tiri salvezza in caso di morte.
Rules/&ConditionGateKeeperTitle	Custode del cancello
Rules/&ConditionGiantStrengthCloudDescription	La forza diventa 27
Rules/&ConditionGiantStrengthCloudTitle	Giant Strength (Cloud)
Rules/&ConditionGiantStrengthFireDescription	La forza diventa 25
Rules/&ConditionGiantStrengthFireTitle	Forza gigante (fuoco)
Rules/&ConditionGiantStrengthFrostDescription	La forza diventa 23
Rules/&ConditionGiantStrengthFrostTitle	Forza gigante (gelo)
Rules/&ConditionGiantStrengthHillDescription	La forza diventa 21
Rules/&ConditionGiantStrengthHillTitle	Forza gigante (collina)
Rules/&ConditionGrappledDescription	Non posso muovermi.
Rules/&ConditionGrappledTitle	Grappled
Rules/&ConditionGuidedDescription	Aggiungi 1d4 a una prova di caratteristica.
Rules/&ConditionGuidedTitle	Guidato
Rules/&ConditionHastedDescription	La velocità è raddoppiata; +2 CA; I tiri salvezza di Destrezza hanno vantaggio; in grado di eseguire un'azione in più per turno (Attacco, Scatto, Schivata, Disimpegno, Nascondi, Usa oggetto).
Rules/&ConditionHastedTitle	Hasted
Rules/&ConditionHealthyDescription	Non ferito.
Rules/&ConditionHealthyTitle	Salutare
Rules/&ConditionHeavilyEncumberedDescription	La velocità è ridotta di 4.\nSvantaggio dei tiri per colpire.
Rules/&ConditionHeavilyEncumberedTitle	Pesantemente gravato
Rules/&ConditionHeavilyObscuredTitle	Pesantemente oscurato
Rules/&ConditionHeraldOfBattleDescription	+1 all'AC; +1 per attaccare e danneggiare; +1 a tutti i tiri salvezza.
Rules/&ConditionHeraldOfBattleTitle	Benedetta dall'araldo della battaglia
Rules/&ConditionHeroismDescription	Punti ferita temporanei aggiuntivi.
Rules/&ConditionHeroismTitle	Eroismo
Rules/&ConditionHighlightedDescription	La creatura non può beneficiare dell'invisibilità, gli attaccanti hanno vantaggio.
Rules/&ConditionHighlightedTitle	Evidenziato
Rules/&ConditionHinderedDescription	Velocità di movimento -2.
Rules/&ConditionHinderedTitle	Ostacolato
Rules/&ConditionIncapacitatedDescription	Impossibile intraprendere azioni o reazioni.
Rules/&ConditionIncapacitatedTitle	Incapacitato
Rules/&ConditionInStinkingCloudDescription	La creatura deve effettuare con successo un Tiro Salvezza CON per poter agire nel suo turno.\nLa vista è fortemente oscurata.
Rules/&ConditionInStinkingCloudTitle	Nella nuvola puzzolente
Rules/&ConditionInvisibleDescription	Non può essere visto senza magia; la creatura ha vantaggio sugli attacchi; gli attaccanti hanno uno svantaggio.
Rules/&ConditionInvisibleTitle	Invisibile
Rules/&ConditionJumpDescription	Distanza di salto aumentata.
Rules/&ConditionJumpTitle	Saltare
Rules/&ConditionLethargicDescription	La creatura non può muoversi o eseguire alcuna azione fino a dopo il suo prossimo turno.
Rules/&ConditionLethargicTitle	Letargico
Rules/&ConditionLevitateDescription	La creatura bersaglio si libra; l'incantatore può spostarlo su o giù.
Rules/&ConditionLevitateTitle	Levitazione
Rules/&ConditionLifeDrainedDescription	I punti ferita massimi vengono ridotti fino al completamento di un riposo lungo.
Rules/&ConditionLifeDrainedTitle	Sgocciolato
Rules/&ConditionLightHypersensitiveDescription	Ferito dalla luce.
Rules/&ConditionLightHypersensitiveTitle	Ipersensibile alla luce
Rules/&ConditionLightSensitiveDescription	Svantaggiato dalla luce.
Rules/&ConditionLightSensitiveTitle	Sensibile alla luce
Rules/&ConditionLongstriderDescription	La velocità di movimento aumenta di 2 celle.
Rules/&ConditionLongstriderTitle	Longstrider
Rules/&ConditionMagicallyArmoredDescription	La classe di armatura di base è impostata su 13.
Rules/&ConditionMagicallyArmoredTitle	Mago corazzato
Rules/&ConditionMagicallyAsleepDescription	Incapace di agire fino al risveglio.
Rules/&ConditionMagicallyAsleepTitle	Magicamente addormentato
Rules/&ConditionMagicalWeaponDescription	L'arma può ferire i nemici immuni agli attacchi non magici.
Rules/&ConditionMagicalWeaponTitle	Arma magica
Rules/&ConditionMarkedByBrandingSmiteDescription	Emette luce; non può diventare invisibile; rivelato se invisibile.
Rules/&ConditionMarkedByBrandingSmiteTitle	Branding Smite
Rules/&ConditionMarkedByHunterDescription	Riceve + 1d6 danni quando viene colpito dall'incantatore.
Rules/&ConditionMarkedByHunterTitle	Marchio del cacciatore
Rules/&ConditionMindControlledTitle	Controllo mentale
Rules/&ConditionOnFireDescription	Supporta continui danni da incendio a meno che l'incendio non venga spento da un'azione.
Rules/&ConditionOnFireTitle	A fuoco
Rules/&ConditionParalyzedDescription	Incapace di agire; gli attacchi contro la creatura hanno vantaggio; colpo critico automatico se attaccato da una cella vicina.
Rules/&ConditionParalyzedTitle	Paralizzato
Rules/&ConditionPetrifiedDescription	Trasformato in pietra; difficilmente può essere ferito.
Rules/&ConditionPetrifiedTitle	Pietrificato
Rules/&ConditionPoisonedDescription	Svantaggio su attacchi e prove di abilità.
Rules/&ConditionPoisonedTitle	Avvelenato
Rules/&ConditionPossessedDescription	Controllato da un essere soprannaturale.
Rules/&ConditionPossessedTitle	Posseduto
Rules/&ConditionProneDescription	Può muoversi solo strisciando; vulnerabile agli attacchi ravvicinati.
Rules/&ConditionProneTitle	Prono
Rules/&ConditionProtectedFromEvilTitle	Protetto dal male e dal bene
Rules/&ConditionResistingDescription	Aggiungi + 1d4 a un tiro salvezza.
Rules/&ConditionResistingTitle	Resistente
Rules/&ConditionRestrainedDescription	Impossibilitato a muoversi; gli attacchi della creatura e i tiri salvezza su Destrezza hanno svantaggio; gli attacchi contro le creature hanno vantaggio.
Rules/&ConditionRestrainedTitle	Trattenuto
Rules/&ConditionSeeInvisibilityDescription	Può percepire creature invisibili.
Rules/&ConditionSeeInvisibilityTitle	Vista dell'invisibilità
Rules/&ConditionSeverelyWoundedDescription	Morirà presto.
Rules/&ConditionSeverelyWoundedTitle	Gravemente ferito
Rules/&ConditionShieldedByFaithDescription	Classe armatura +2.
Rules/&ConditionShieldedByFaithTitle	Schermato dalla fede
Rules/&ConditionShieldedDescription	La Classe Armatura aumenta di +5 e l'immunità ai missili magici.
Rules/&ConditionShieldedTitle	Schermato
Rules/&ConditionShockedDescription	Non è possibile utilizzare le reazioni.
Rules/&ConditionShockedTitle	Scioccato
Rules/&ConditionSleetStormDescription	Terreno difficile; può cadere prono; pesantemente oscurato; deve eseguire il controllo della concentrazione.
Rules/&ConditionSleetStormTitle	Nella tempesta di nevischio
Rules/&ConditionSlowedDescription	Velocità dimezzata; -2 ai salvataggi AC e DEX; massimo un'azione o azione bonus; nessuna reazione; massimo un attacco per turno; il lancio di incantesimi può fallire.
Rules/&ConditionSlowedTitle	Rallentato
Rules/&ConditionSpiderClimbDescription	Capace di arrampicarsi come un ragno.
Rules/&ConditionSpiderClimbTitle	Spider Climb
Rules/&ConditionSpiritGuardiansDescription	La velocità è dimezzata; può subire danni all'inizio di ogni turno.
Rules/&ConditionSpiritGuardiansSelfDescription	Il personaggio è attualmente protetto da Spirit Guardians.
Rules/&ConditionSpiritGuardiansSelfTitle	Protetto dagli spiriti.
Rules/&ConditionSpiritGuardiansTitle	Presi di mira dagli spiriti
Rules/&ConditionStealthyDescription	Nascondersi attivamente.
Rules/&ConditionStealthyTitle	Stealthy
Rules/&ConditionStunnedDescription	Incapace di agire o di muoversi; gli attacchi contro le creature hanno un vantaggio; fallisce automaticamente i tiri salvezza su Forza e Destrezza.
Rules/&ConditionStunnedTitle	Stordito
Rules/&ConditionSurprisedDescription	Impossibile agire per un round.
Rules/&ConditionSurprisedTitle	Sorpreso
Rules/&ConditionTargetedByGuidingBoltDescription	Il primo attacco contro questa creatura ha vantaggio.
Rules/&ConditionTargetedByGuidingBoltTitle	Mirato da Guiding Bolt
Rules/&ConditionTemporaryHitPointsDescription	La creatura guadagna punti ferita temporanei.
Rules/&ConditionTemporaryHitPointsTitle	HP temporanei
Rules/&ConditionTraditionShockArcanistArcaneFuryDescription	Il danno degli incantesimi di evocazione aumenta del bonus di competenza e del bonus INT.
Rules/&ConditionTraditionShockArcanistArcaneFuryTitle	Furia Arcana
Rules/&ConditionTrueStrikeDescription	L'incantatore ha vantaggio al suo primo attacco contro il bersaglio dell'incantesimo.
Rules/&ConditionTrueStrikeTitle	True Strike
Rules/&ConditionTurnedDescription	Deve allontanarsi dal lanciatore.
Rules/&ConditionTurnedTitle	Trasformato
Rules/&ConditionTypeBeneficialFormat	Condizione benefica
Rules/&ConditionTypeDetrimentalFormat	Condizione dannosa
Rules/&ConditionTypeNeutralFormat	Condizione neutra
Rules/&ConditionUnconsciousDescription	Incapace di agire fino al risveglio.
Rules/&ConditionUnconsciousTitle	Inconscio
Rules/&ConditionVampiricTouchDescription	Può eseguire un attacco di incantesimo corpo a corpo vampirico ogni turno.
Rules/&ConditionVampiricTouchTitle	Tocco vampirico
Rules/&ConditionWoundedDescription	Hai perso alcuni punti ferita.
Rules/&ConditionWoundedTitle	Ferito
Rules/&CostFormat	{0} {1}
Rules/&CounterFormBreakConcentrationFormat	Provoca un controllo della concentrazione.
Rules/&CounterFormDisperseCloudFormat	Disperde le nuvole nell'area.
Rules/&CounterFormDissipateSpellsFormat	Incantesimo fino al livello {0} dissolto automaticamente, CD {1} + livello dell'incantesimo altrimenti.
Rules/&CounterFormExtinguishLightFormat	Spegne le sorgenti luminose nell'area.
Rules/&CounterFormInterruptSpellcastingFormat	Incantesimo fino al livello {0} neutralizzato automaticamente, CD {1} + livello dell'incantesimo altrimenti.
Rules/&CounterFormRemoveDarknessFormat	Rimuove le aree di oscurità.
Rules/&DamageAcidDescription	Lo spruzzo corrosivo del respiro di un drago nero e gli enzimi che si dissolvono secreti da un sanguinaccio infliggono danni da acido.
Rules/&DamageAcidTitle	Acido
Rules/&DamageBludgeoningDescription	Gli attacchi di forza contundente - martelli, cadute, costrizioni e simili - infliggono danni contundenti.
Rules/&DamageBludgeoningTitle	Randellando
Rules/&DamageColdDescription	Il gelo infernale che si irradia dalla lancia di un diavolo di ghiaccio e l'esplosione gelida del respiro di un drago bianco infliggono danni da freddo.
Rules/&DamageColdTitle	Freddo
Rules/&DamageFireDescription	I draghi rossi sputano fuoco e molti incantesimi evocano fiamme per infliggere danni da fuoco.
Rules/&DamageFireTitle	Fuoco
Rules/&DamageForceDescription	La forza è pura energia magica focalizzata in una forma dannosa. La maggior parte degli effetti che infliggono danni di forza sono incantesimi, inclusi missili magici e armi spirituali.
Rules/&DamageForceTitle	Vigore
Rules/&DamageFormFormat	{0} {1} {2} {3} danni {4}
Rules/&DamageFormTightFormat	{0} {1} {2} {3} dmg {4}
Rules/&DamageLightningDescription	Un incantesimo fulmine e il soffio di un drago blu infliggono danni da fulmine.
Rules/&DamageLightningTitle	Fulmini
Rules/&DamageNecroticDescription	Danno necrotico, inflitto da alcuni non morti e incantesimi come il tocco gelido, la materia appassisce e persino l'anima.
Rules/&DamageNecroticTitle	Necrotico
Rules/&DamagePiercingDescription	Gli attacchi perforanti e impalanti, inclusi lance e morsi di mostri, infliggono danni perforanti.
Rules/&DamagePiercingTitle	Piercing
Rules/&DamagePoisonDescription	Punture velenose e il gas tossico dell'alito di un drago verde infliggono danni da veleno.
Rules/&DamagePoisonTitle	Veleno
Rules/&DamagePsychicDescription	Le capacità mentali infliggono danni psichici.
Rules/&DamagePsychicTitle	Psichico
Rules/&DamageRadiantDescription	Il danno radiante, inflitto dall'incantesimo colpo di fiamma di un chierico o dall'arma punitrice di un angelo, brucia la carne come il fuoco e sovraccarica lo spirito di potere.
Rules/&DamageRadiantTitle	Radiante
Rules/&DamageSlashingDescription	Spade, asce e artigli dei mostri infliggono danni taglienti.
Rules/&DamageSlashingTitle	Taglio
Rules/&DamageThunderDescription	Una raffica di suono, come l'effetto dell'incantesimo Onde di tuono, infligge danni da tuono.
Rules/&DamageThunderTitle	tuono
Rules/&DamageTitle	Danno:
Rules/&DcFormat	DC {0}
Rules/&DieD10Title	d10
Rules/&DieD12Title	d12
Rules/&DieD1Title	d1
Rules/&DieD20Title	d20
Rules/&DieD2Title	d2
Rules/&DieD3Title	d3
Rules/&DieD4Title	d4
Rules/&DieD6Title	d6
Rules/&DieD8Title	d8
Rules/&DivinationFormFormatIdentifyItem	Rivela tutte le proprietà di un oggetto.
Rules/&DivinationFormFormatListCreatureFamilyInLocation	Rileva la presenza di tipi di creature: {0}.
Rules/&DivinationFormFormatRevealEntitiesBearingTags	Rivela creature o oggetti che sono {0}.
Rules/&DurationAnyRestFormat	Fino al riposo
Rules/&DurationDayPluralFormat	{0} giorni
Rules/&DurationDaySingleFormat	{0} giorno
Rules/&DurationHourPluralFormat	{0} ore
Rules/&DurationHourSingleFormat	{0} ora
Rules/&DurationInstantaneousFormat	Immediato
Rules/&DurationLessMinuteFormat	<1 min
Rules/&DurationLongRestFormat	Fino a lungo riposo
Rules/&DurationMinutePluralFormat	{0} minuti
Rules/&DurationMinuteSingleFormat	{0} minuto
Rules/&DurationNoneFormat	{0} round
Rules/&DurationPermanentFormat	Permanente
Rules/&DurationRoundPluralFormat	{0} round
Rules/&DurationRoundSingleFormat	{0} round
Rules/&DurationShortRestFormat	Fino a breve riposo
Rules/&DurationUntilEndOfSourceTurnFormat	Fino alla fine del turno del personaggio sorgente.
Rules/&DurationUntilEndOfTargetTurnFormat	Fino alla fine del turno di questo personaggio.
Rules/&DurationUntilStartOfSourceTurnFormat	Fino all'inizio del turno del personaggio sorgente.
Rules/&DurationUntilStartOfTargetTurnFormat	Fino all'inizio del turno di questo personaggio.
Rules/&EffectRangeDistanceTitle	{0}
Rules/&EffectRangeMeleeHitTitle	Colpo in mischia
Rules/&EffectRangeRangeHitTitle	Hit a distanza {0}
Rules/&EffectRangeSelfTitle	Se stesso
Rules/&EffectRangeTouchTitle	Toccare
Rules/&EffectTargetConeTitle	{0} {1}
Rules/&EffectTargetCubeTitle	{0} {1}
Rules/&EffectTargetCylinderTitle	{0} {1} x {2}
Rules/&EffectTargetIndividualsTitle	{0} {1}
Rules/&EffectTargetIndividualsUniqueTitle	{0} {1}
Rules/&EffectTargetInLineOfSightWithinDistanceTitle	In vista {0}
Rules/&EffectTargetItemTitle	Articolo
Rules/&EffectTargetLineTitle	{0} {1}
Rules/&EffectTargetPerceivingWithinDistanceTitle	{0} {1}
Rules/&EffectTargetPositionTitle	Terra
Rules/&EffectTargetSelfTitle	Se stesso
Rules/&EffectTargetSharedAmongIndividualsTitle	{0} <> {1}
Rules/&EffectTargetSphereTitle	{0} {1}
Rules/&EffectTargetWallLineTitle	{0} {1} x {2}
Rules/&EffectTargetWallRingTitle	{0} {1} x {2}
Rules/&HealingFormFormat	{0} {1} {2} guarigione
Rules/&HealingStabilize	Stabilizza una creatura morente.
Rules/&HeightFormatFeet	{0} "
Rules/&HeightFormatFeetInches	{0} '{1} "; {0}' {1} ''; {0} '{1}"
Rules/&HeightFormatInches	{0} "; {0} ''; {0}"
Rules/&ItemPropertyFormFormat	Sull'articolo di destinazione:\n{0}
Rules/&LightSourceFormFormat	sorgente luminosa: {0} luminosa + {1} debole
Rules/&MaterialComponentTitle	M
Rules/&MotionFormLevitateFormat	Levita {0}
Rules/&MotionFormPullFormat	Trascina {0}
Rules/&MotionFormPushFormat	Spingi via {0}
Rules/&MotionFormTeleportFormat	Teletrasporto {0}
Rules/&RateAtWillFormatTitle	a volontà
Rules/&RateChannelDivinityFormatTitle	piccola pausa
Rules/&Rated6FormatTitle	su 5 o 6 su 1d6
Rules/&RateDawnFormatTitle	alba
Rules/&RateHealingPoolFormatTitle	piscina curativa
Rules/&RateLongRestFormatTitle	lungo riposo
Rules/&RateNoneFormatTitle	nessuna
Rules/&RateOneMinuteFormatTitle	ogni minuto
Rules/&RateShortRestFormatTitle	piccola pausa
Rules/&RateSpellSlotFormatTitle	slot incantesimo
Rules/&RecipeRequiredIngredientMultipleFormat	{0} x {1}
Rules/&RecipeRequiredIngredientSingleFormat	{0}
Rules/&RecipeRequiredSpellFormat	Capacità di lanciare l'incantesimo {0}.
Rules/&RecipeRequiredTooltypeFormat	Competenza con {0}
Rules/&SaveAffinityHalfDamageTitle	(salva per {0})
Rules/&SaveAffinityNegateAndCancelEachTurnTitle	(salva ogni turno per annullare)
Rules/&SaveAffinityNegateTitle	(salva per negare)
Rules/&SituationalContextAttackerAwayFromTargetFormat	Se l'attaccante è lontano dal bersaglio:
Rules/&SituationalContextAttackerNextToTargetFormat	Se l'attaccante è vicino al bersaglio:
Rules/&SituationalContextAttackerOnHigherGroundThanTargetFormat	Se l'attaccante si trova su un terreno più elevato:
Rules/&SituationalContextConsciousAllyNextToTargetFormat	se l'attaccante ha un alleato cosciente vicino al bersaglio:
Rules/&SituationalContextNextToWallFormat	se la creatura è vicino a un muro:
Rules/&SituationalContextTargetIsEffectSourceFormat	se la creatura sta attaccando la fonte dell'effetto:
Rules/&SomaticComponentTitle	S
Rules/&SpellLevel0FormatTitle	Trucchetto
Rules/&SpellLevel1FormatTitle	1 ° livello
Rules/&SpellLevel2FormatTitle	2 ° livello
Rules/&SpellLevel3FormatTitle	3 ° livello
