PartyBanter/&Cynical1_Trap_Detected_Self	Esperar! Uma armadilha!
PartyBanter/&Cynical2_Trap_Trigerred_Other	Sério? Você não viu isso?
PartyBanter/&Cynical3_Trap_Trigerred_Other	Só um tolo iria ... oh, espere.
PartyBanter/&Cynical1_Trap_Disarmed_Other	Isso já estava claramente quebrado.
PartyBanter/&Cynical2_Trap_Disarmed_Other	Tive sorte, eu acho.
PartyBanter/&Cynical3_Trap_Disarmed_Other	Nós vamos! Afinal, você não é completamente inútil!
PartyBanter/&Cynical1_Long_Jump_Other	Você não está muito enferrujado.
PartyBanter/&Cynical2_Long_Jump_Other	Calma para os tornozelos!
PartyBanter/&Cynical3_Long_Jump_Other	Nota artística - não muito bem.
PartyBanter/&Cynical1_High_Climb_Other	Bom aquecimento.
PartyBanter/&Cynical2_High_Climb_Other	Eu conheço crianças que fariam isso mais rápido.
PartyBanter/&Cynical3_High_Climb_Other	Um verdadeiro pequeno goblin.
PartyBanter/&Cynical1_Break_Stealth_Other	Não dissemos "silêncio"?
PartyBanter/&Cynical2_Break_Stealth_Other	Achei que tivéssemos dito "cauteloso".
PartyBanter/&Cynical3_Break_Stealth_Other	Não posso dizer que estou surpreso.
PartyBanter/&Cynical1_Pushing_Heavy_Other	Heave ho!
PartyBanter/&Cynical2_Pushing_Heavy_Other	Vamos - empurre!
PartyBanter/&Cynical1_Crawling_Other	Você não se importa em ficar de joelhos, não é?
PartyBanter/&Cynical2_Crawling_Other	Parece que você tem feito isso a vida toda.
PartyBanter/&Cynical1_Critical_Hit_Received_Other	Espere!
PartyBanter/&Cynical2_Critical_Hit_Received_Other	Fique conosco!
PartyBanter/&Cynical1_Normal_Hit_Received_Other	Você está bem?
PartyBanter/&Cynical2_Normal_Hit_Received_Other	Você já viu pior!
PartyBanter/&Cynical1_Critical_Hit_Given_Other	Esse é o caminho!
PartyBanter/&Cynical2_Critical_Hit_Given_Other	Legal!
PartyBanter/&Cynical3_Critical_Hit_Given_Other	Impressionante!
PartyBanter/&Cynical1_Normal_Hit_Given_Other	Boa jogada!
PartyBanter/&Cynical2_Normal_Hit_Given_Other	Novamente!
PartyBanter/&Cynical3_Normal_Hit_Given_Other	Bom!
PartyBanter/&Cynical1_Missed_Attack_Other	Venha, você pode fazer melhor!
PartyBanter/&Cynical2_Missed_Attack_Other	Tente novamente!
PartyBanter/&Cynical3_Missed_Attack_Other	Outra falta?
PartyBanter/&Cynical1_Kill_Enemy_Other	Ei! Isso foi meu!
PartyBanter/&Cynical2_Kill_Enemy_Other	Aquele nem mesmo revidou.
PartyBanter/&Cynical3_Kill_Enemy_Other	Não é tão ruim.
PartyBanter/&Serious1_Trap_Detected_Self	Droga! Uma armadilha!
PartyBanter/&Serious2_Trap_Detected_Self	Pare! Uma armadilha!
PartyBanter/&Serious3_Trap_Detected_Self	Existe uma armadilha!
PartyBanter/&Serious1_Secret_door_Detected_Self	Ei - uma porta secreta!
PartyBanter/&Serious2_Secret_door_Detected_Self	Encontrou uma porta, aqui!
PartyBanter/&Serious3_Secret_door_Detected_Self	Temos uma porta escondida!
PartyBanter/&Serious1_Trap_Trigerred_Self	Porcaria!
PartyBanter/&Serious2_Trap_Trigerred_Self	Caramba!
PartyBanter/&Serious3_Trap_Trigerred_Self	Eu odeio isso!
PartyBanter/&Serious1_Trap_Disarmed_Self	Fácil.
PartyBanter/&Serious2_Trap_Disarmed_Self	Pedaço de lixo.
PartyBanter/&Serious3_Trap_Disarmed_Self	Feito e feito.
PartyBanter/&Serious1_Light_up_Self	Eu precisava disso.
PartyBanter/&Serious2_Light_up_Self	Luz, finalmente.
PartyBanter/&Serious3_Light_up_Self	Luz, meu amigo.
PartyBanter/&Serious1_Break_Stealth_Self	Droga!
PartyBanter/&Serious2_Break_Stealth_Self	Não!
PartyBanter/&Serious3_Break_Stealth_Self	Idiota desajeitado!
PartyBanter/&Serious1_Critical_Hit_Given_Self	Sangrar!
PartyBanter/&Serious2_Critical_Hit_Given_Self	Morrer!
PartyBanter/&Serious3_Critical_Hit_Given_Self	Você gosta disso?
PartyBanter/&Serious1_Normal_Hit_Given_Self	Pegue isso!
PartyBanter/&Serious2_Normal_Hit_Given_Self	Espere até o próximo!
PartyBanter/&Serious3_Normal_Hit_Given_Self	Mais vindo em sua direção.
PartyBanter/&Serious4_Normal_Hit_Given_Self	Você vai morrer como o resto!
PartyBanter/&Serious5_Normal_Hit_Given_Self	Sem quartel dado!
PartyBanter/&Serious1_Missed_Attack_Self	Droga!
PartyBanter/&Serious2_Missed_Attack_Self	Não!
PartyBanter/&Serious3_Missed_Attack_Self	Vamos!
PartyBanter/&Serious4_Missed_Attack_Self	Não vou perder da próxima vez!
PartyBanter/&Serious5_Missed_Attack_Self	Você vai morrer de qualquer maneira!
PartyBanter/&Serious1_Kill_Enemy_Self	Eu ganho de novo.
PartyBanter/&Serious2_Kill_Enemy_Self	Você perdeu.
PartyBanter/&Serious3_Kill_Enemy_Self	Vá para o inferno!
PartyBanter/&Serious4_Kill_Enemy_Self	Você não vai voltar.
PartyBanter/&Serious5_Kill_Enemy_Self	Você não me entendeu.
PartyBanter/&Serious1_Healed_by_ally_Self	Obrigado.
PartyBanter/&Serious2_Healed_by_ally_Self	Lembrarei.
PartyBanter/&Serious3_Healed_by_ally_Self	Eu devo-te uma.
PartyBanter/&Serious1_Allied_KnockedDown_Self	Vamos!
PartyBanter/&Serious2_Allied_KnockedDown_Self	Não me decepcione!
PartyBanter/&Serious3_Allied_KnockedDown_Self	Não!
PartyBanter/&Serious1_Trap_Trigerred_Other	Que idiota!
PartyBanter/&Serious2_Trap_Trigerred_Other	Abra seus malditos olhos!
PartyBanter/&Serious3_Trap_Trigerred_Other	Preste atenção!
PartyBanter/&Serious1_Trap_Disarmed_Other	Bem feito!
PartyBanter/&Serious2_Trap_Disarmed_Other	Um problema a menos.
PartyBanter/&Serious3_Trap_Disarmed_Other	Eu odeio isso!
PartyBanter/&Serious1_Long_Jump_Other	Isso foi demais!
PartyBanter/&Serious2_Long_Jump_Other	Belo salto!
PartyBanter/&Serious3_Long_Jump_Other	Bem feito!
PartyBanter/&Serious1_High_Climb_Other	Bons braços você tem!
PartyBanter/&Serious2_High_Climb_Other	Não achei que você pudesse fazer isso!
PartyBanter/&Serious3_High_Climb_Other	Ok, você é durão.
PartyBanter/&Serious1_Break_Stealth_Other	Desajeitado!
PartyBanter/&Serious2_Break_Stealth_Other	Eu não acredito!
PartyBanter/&Serious3_Break_Stealth_Other	Você vai matar todos nós!
PartyBanter/&Serious1_Pushing_Heavy_Other	Vamos, mais forte!
PartyBanter/&Serious2_Pushing_Heavy_Other	Empurrar!
PartyBanter/&Serious1_Crawling_Other	Mergulhe na sujeira, agora.
PartyBanter/&Serious2_Crawling_Other	Rastejando pela sujeira - nada de novo aqui.
PartyBanter/&Serious1_Critical_Hit_Received_Other	Você vai ficar com uma bela cicatriz!
PartyBanter/&Serious2_Critical_Hit_Received_Other	Se não te matar ...
PartyBanter/&Serious1_Normal_Hit_Received_Other	Ande com isso!
PartyBanter/&Serious2_Normal_Hit_Received_Other	Lide com isso!
PartyBanter/&Serious1_Critical_Hit_Given_Other	Esse é o caminho!
PartyBanter/&Serious2_Critical_Hit_Given_Other	Matar todos eles!
PartyBanter/&Serious3_Critical_Hit_Given_Other	Esmague-os!
PartyBanter/&Serious1_Normal_Hit_Given_Other	Novamente! Mais difícil!
PartyBanter/&Serious2_Normal_Hit_Given_Other	Mais!
PartyBanter/&Serious3_Normal_Hit_Given_Other	Isso é batalha!
PartyBanter/&Serious1_Missed_Attack_Other	Você é um merda!
PartyBanter/&Serious2_Missed_Attack_Other	Pare com isso!
PartyBanter/&Serious3_Missed_Attack_Other	Achei que você pudesse lutar!
PartyBanter/&Serious1_Kill_Enemy_Other	Isso eu gosto!
PartyBanter/&Serious2_Kill_Enemy_Other	Continue vindo!
PartyBanter/&Serious3_Kill_Enemy_Other	Boa morte!
PartyBanter/&Heroic1_Trap_Detected_Self	Espere aí - eu vejo uma armadilha!
PartyBanter/&Heroic2_Trap_Detected_Self	Todos congelem!
PartyBanter/&Heroic3_Trap_Detected_Self	Esperar! Eu vejo uma armadilha.
PartyBanter/&Heroic1_Secret_door_Detected_Self	Amigos! Há uma porta escondida aqui!
PartyBanter/&Heroic2_Secret_door_Detected_Self	Olhe só - uma porta secreta!
PartyBanter/&Heroic3_Secret_door_Detected_Self	Pensei que sentiria sua falta, hein?
PartyBanter/&Heroic1_Trap_Trigerred_Self	Não!
PartyBanter/&Heroic2_Trap_Trigerred_Self	Desculpe por isso!
PartyBanter/&Heroic3_Trap_Trigerred_Self	Eu sou uma idiota!
PartyBanter/&Heroic1_Trap_Disarmed_Self	Isso não foi tão ruim.
PartyBanter/&Heroic2_Trap_Disarmed_Self	Eu acho que consegui.
PartyBanter/&Heroic3_Trap_Disarmed_Self	Missão cumprida.
PartyBanter/&Heroic1_Light_up_Self	A luz está conosco.
PartyBanter/&Heroic2_Light_up_Self	A Luz nos guiará.
PartyBanter/&Heroic3_Light_up_Self	Trazemos luz nas trevas!
PartyBanter/&Heroic1_Break_Stealth_Self	Ups!
PartyBanter/&Heroic2_Break_Stealth_Self	Desculpe!
PartyBanter/&Heroic3_Break_Stealth_Self	Eu sei eu sei!
PartyBanter/&Heroic1_Critical_Hit_Given_Self	Renda-se ou morra!
PartyBanter/&Heroic2_Critical_Hit_Given_Self	Não faço prisioneiros!
PartyBanter/&Heroic3_Critical_Hit_Given_Self	Eu vou te matar.
PartyBanter/&Heroic1_Normal_Hit_Given_Self	Dobre o joelho ou morra!
PartyBanter/&Heroic2_Normal_Hit_Given_Self	Corra enquanto pode!
PartyBanter/&Heroic3_Normal_Hit_Given_Self	Você não pode vencer!
PartyBanter/&Heroic4_Normal_Hit_Given_Self	Eu sou imbatível!
PartyBanter/&Heroic5_Normal_Hit_Given_Self	Você não pode me derrotar!
PartyBanter/&Heroic1_Missed_Attack_Self	Droga!
PartyBanter/&Heroic2_Missed_Attack_Self	Vamos!
PartyBanter/&Heroic3_Missed_Attack_Self	Devo fazer melhor!
PartyBanter/&Heroic4_Missed_Attack_Self	Estou tendo a medida disso!
PartyBanter/&Heroic5_Missed_Attack_Self	Próxima vez!
PartyBanter/&Heroic1_Kill_Enemy_Self	Mais uma vez, vencemos!
PartyBanter/&Heroic2_Kill_Enemy_Self	Outra vitória! Este é o destino!
PartyBanter/&Heroic3_Kill_Enemy_Self	Você estava condenado.
PartyBanter/&Heroic4_Kill_Enemy_Self	Você deveria ter fugido.
PartyBanter/&Heroic5_Kill_Enemy_Self	Você deveria ter se rendido.
PartyBanter/&Heroic1_Healed_by_ally_Self	Estou em dívida com você, meu amigo.
PartyBanter/&Heroic2_Healed_by_ally_Self	Eu não vou esquecer isso.
PartyBanter/&Heroic3_Healed_by_ally_Self	Devo minha vida a você.
PartyBanter/&Heroic1_Allied_KnockedDown_Self	Segure a vida, amigo!
PartyBanter/&Heroic2_Allied_KnockedDown_Self	Não vamos deixar você morrer!
PartyBanter/&Heroic3_Allied_KnockedDown_Self	Não deixamos ninguém para trás!
PartyBanter/&Heroic1_Trap_Trigerred_Other	É necessária mais atenção, amigo!
PartyBanter/&Heroic2_Trap_Trigerred_Other	Você está sem foco.
PartyBanter/&Heroic3_Trap_Trigerred_Other	Um pouco de cautela aqui, por favor?
PartyBanter/&Heroic1_Trap_Disarmed_Other	Bom trabalho!
PartyBanter/&Heroic2_Trap_Disarmed_Other	Muito bem, amigo!
PartyBanter/&Heroic3_Trap_Disarmed_Other	Suas habilidades são impressionantes!
PartyBanter/&Heroic1_Long_Jump_Other	Que salto fantástico!
PartyBanter/&Heroic2_Long_Jump_Other	Você treinou bem!
PartyBanter/&Heroic3_Long_Jump_Other	Estou impressionado!
PartyBanter/&Heroic1_High_Climb_Other	Isso é impressionante.
PartyBanter/&Heroic2_High_Climb_Other	Você está impressionantemente apto.
PartyBanter/&Heroic3_High_Climb_Other	Eu subestimei você. Me desculpe!
PartyBanter/&Heroic1_Break_Stealth_Other	Isso não foi inteligente.
PartyBanter/&Heroic2_Break_Stealth_Other	Você precisará fazer melhor do que isso!
PartyBanter/&Heroic3_Break_Stealth_Other	Mais cuidado da próxima vez!
PartyBanter/&Heroic1_Pushing_Heavy_Other	Com todas as suas forças!
PartyBanter/&Heroic2_Pushing_Heavy_Other	Você consegue!
PartyBanter/&Heroic1_Crawling_Other	Às vezes, simplesmente não há escolha.
PartyBanter/&Heroic2_Crawling_Other	Eu também não gosto.
PartyBanter/&Heroic1_Critical_Hit_Received_Other	Coragem!
PartyBanter/&Heroic2_Critical_Hit_Received_Other	Você ainda está de pé!
PartyBanter/&Heroic1_Normal_Hit_Received_Other	Você pode levá-lo!
PartyBanter/&Heroic2_Normal_Hit_Received_Other	Deixar pra lá!
PartyBanter/&Heroic1_Critical_Hit_Given_Other	Esse é o caminho!
PartyBanter/&Heroic2_Critical_Hit_Given_Other	Magistral!
PartyBanter/&Heroic3_Critical_Hit_Given_Other	Você certamente vai prevalecer!
PartyBanter/&Heroic1_Normal_Hit_Given_Other	Bem atingido!
PartyBanter/&Heroic2_Normal_Hit_Given_Other	Perfeito!
PartyBanter/&Heroic3_Normal_Hit_Given_Other	Continue!
PartyBanter/&Heroic1_Missed_Attack_Other	Mais sorte da próxima vez!
PartyBanter/&Heroic2_Missed_Attack_Other	Não perca a esperança!
PartyBanter/&Heroic3_Missed_Attack_Other	Que azar!
PartyBanter/&Heroic1_Kill_Enemy_Other	A vitória é sua!
PartyBanter/&Heroic2_Kill_Enemy_Other	Movimento impressionante, meu amigo!
PartyBanter/&Heroic3_Kill_Enemy_Other	Ninguém tem suas habilidades, bravo!
PartyBanter/&Formal1_Trap_Detected_Self	Uma armadilha crua.
PartyBanter/&Formal2_Trap_Detected_Self	Não seremos enganados tão facilmente.
PartyBanter/&Formal3_Trap_Detected_Self	Eu localizei uma espécie de armadilha.
PartyBanter/&Formal1_Secret_door_Detected_Self	Eu acredito que existe uma porta escondida.
PartyBanter/&Formal2_Secret_door_Detected_Self	Esta deve ser uma passagem secreta.
PartyBanter/&Formal3_Secret_door_Detected_Self	Interessante - uma porta secreta.
PartyBanter/&Formal1_Trap_Trigerred_Self	Que tolice da minha parte!
PartyBanter/&Formal2_Trap_Trigerred_Self	Como eu poderia perder isso?
PartyBanter/&Formal3_Trap_Trigerred_Self	Eu realmente devo ser mais cuidadoso.
PartyBanter/&Formal1_Trap_Disarmed_Self	Isso era a própria simplicidade!
PartyBanter/&Formal2_Trap_Disarmed_Self	Não tão desgastante quanto eu esperava.
PartyBanter/&Formal3_Trap_Disarmed_Self	Engenhoso, mas não imbatível.
PartyBanter/&Formal1_Light_up_Self	Um pouco de luz é sempre bem-vindo.
PartyBanter/&Formal2_Light_up_Self	Que haja luz!
PartyBanter/&Formal3_Light_up_Self	Abençoados são os Lightbringers!
PartyBanter/&Formal1_Break_Stealth_Self	Maldições! Minha culpa.
PartyBanter/&Formal2_Break_Stealth_Self	Eu realmente pensei que ... deixa pra lá.
PartyBanter/&Formal3_Break_Stealth_Self	Que cansativo.
PartyBanter/&Formal1_Critical_Hit_Given_Self	Hah! Pegue isso, seu demônio!
PartyBanter/&Formal2_Critical_Hit_Given_Self	Exatamente onde dói mais!
PartyBanter/&Formal3_Critical_Hit_Given_Self	A morte estende a mão para você!
PartyBanter/&Formal1_Normal_Hit_Given_Self	Nada mal, hein?
PartyBanter/&Formal2_Normal_Hit_Given_Self	Um sucesso modesto!
PartyBanter/&Formal3_Normal_Hit_Given_Self	Um golpe palpável!
PartyBanter/&Formal4_Normal_Hit_Given_Self	Sortudo? Talvez.
PartyBanter/&Formal5_Normal_Hit_Given_Self	Treinei muito pra isso!
PartyBanter/&Formal1_Missed_Attack_Self	A fortuna é inconstante!
PartyBanter/&Formal2_Missed_Attack_Self	Que pena.
PartyBanter/&Formal3_Missed_Attack_Self	Apenas o último golpe importa!
PartyBanter/&Formal4_Missed_Attack_Self	Da próxima vez, eu juro ...
PartyBanter/&Formal5_Missed_Attack_Self	Eu vou te pegar ainda!
PartyBanter/&Formal1_Kill_Enemy_Self	Um inimigo a menos!
PartyBanter/&Formal2_Kill_Enemy_Self	A morte reclama você!
PartyBanter/&Formal3_Kill_Enemy_Self	A vitória é minha!
PartyBanter/&Formal4_Kill_Enemy_Self	Uma vitória digna de uma canção!
PartyBanter/&Formal5_Kill_Enemy_Self	Outra vitória!
PartyBanter/&Formal1_Healed_by_ally_Self	Você é um verdadeiro salvador.
PartyBanter/&Formal2_Healed_by_ally_Self	Você é um camarada valioso.
PartyBanter/&Formal3_Healed_by_ally_Self	Estou em dívida com você, meu amigo.
PartyBanter/&Formal1_Allied_KnockedDown_Self	A luta ainda não acabou!
PartyBanter/&Formal2_Allied_KnockedDown_Self	Seus camaradas vão te salvar!
PartyBanter/&Formal3_Allied_KnockedDown_Self	Nós estamos vindo!
PartyBanter/&Formal1_Trap_Trigerred_Other	Tsk. Um erro elementar.
PartyBanter/&Formal2_Trap_Trigerred_Other	Cuidado com o passo, amigo!
PartyBanter/&Formal3_Trap_Trigerred_Other	Um erro perigoso.
PartyBanter/&Formal1_Trap_Disarmed_Other	Perfeitamente executado!
PartyBanter/&Formal2_Trap_Disarmed_Other	Meus parabéns pelo trabalho bem feito.
PartyBanter/&Formal3_Trap_Disarmed_Other	Sua habilidade é impressionante.
PartyBanter/&Formal1_Long_Jump_Other	Um salto extraordinário!
PartyBanter/&Formal2_Long_Jump_Other	Mais impressionante!
PartyBanter/&Formal3_Long_Jump_Other	Tal atletismo!
PartyBanter/&Formal1_High_Climb_Other	Quanta força!
PartyBanter/&Formal2_High_Climb_Other	Parece fácil!
PartyBanter/&Formal3_High_Climb_Other	É claro que você treinou bem.
PartyBanter/&Formal1_Break_Stealth_Other	Até os mortos podiam ouvir você!
PartyBanter/&Formal2_Break_Stealth_Other	Claro que você foi detectado!
PartyBanter/&Formal3_Break_Stealth_Other	Talvez se você tentasse falar alto, em vez disso?
PartyBanter/&Formal1_Pushing_Heavy_Other	Você consegue!
PartyBanter/&Formal2_Pushing_Heavy_Other	Cale, agora - todas as suas forças!
PartyBanter/&Formal1_Crawling_Other	Indigno, mas necessário.
PartyBanter/&Formal2_Crawling_Other	Ajoelhe-se agora, levante-se mais tarde.
PartyBanter/&Formal1_Critical_Hit_Received_Other	Você ainda está conosco?
PartyBanter/&Formal2_Critical_Hit_Received_Other	Foi um golpe de sorte!
PartyBanter/&Formal1_Normal_Hit_Received_Other	Fique firme - você já passou por coisas piores!
PartyBanter/&Formal2_Normal_Hit_Received_Other	Você ainda está na luta, meu amigo!
PartyBanter/&Formal1_Critical_Hit_Given_Other	Um golpe revelador!
PartyBanter/&Formal2_Critical_Hit_Given_Other	Um belo golpe!
PartyBanter/&Formal3_Critical_Hit_Given_Other	Verdadeiramente formidável!
PartyBanter/&Formal1_Normal_Hit_Given_Other	Bem atingido!
PartyBanter/&Formal2_Normal_Hit_Given_Other	Bem feito!
PartyBanter/&Formal3_Normal_Hit_Given_Other	Você os tem agora!
PartyBanter/&Formal1_Missed_Attack_Other	Oh! Má sorte!
PartyBanter/&Formal2_Missed_Attack_Other	Próxima vez!
PartyBanter/&Formal3_Missed_Attack_Other	Tente novamente!
PartyBanter/&Formal1_Kill_Enemy_Other	Bravo! A vitória é sua!
PartyBanter/&Formal2_Kill_Enemy_Other	Uma boa morte, como dizem.
PartyBanter/&Formal3_Kill_Enemy_Other	Um inimigo a menos!
