Modal/&AssertionFailedTtitle	Error de aserción
Modal/&ScavengerMissionLineOngoingMissionFormat	En curso: {0} restantes
Modal/&ScavengerMissionLineFinishedMissionDescription	Terminado
Modal/&ScavengerMissionModalToggleTitle	Mostrar expediciones relacionadas con el encuentro
Modal/&ScavengerLootModalTitle	Objetos recuperados durante las expediciones
Modal/&ScavengerLootModalInstructionsDescription	Haga clic en un artículo para recuperarlo en lugar de venderlo.
Modal/&ScavengerLootModalSellAllButton	Vender todo
Modal/&ScavengerLootModalSellInstructionsDescription	Tu ganas:
Modal/&DefeatStealthDescription	¡Fuiste detectado durante una etapa crítica de sigilo! Utilice el modo cauteloso y muévase con cuidado.
Modal/&QuestBoardTitle	Misiones disponibles
Modal/&QuestBoardDescription	Seleccione la misión que le gustaría aceptar y presione Iniciar.
Modal/&QuestBoardStartTitle	Comienzo
Modal/&QuestBoardStartDescription	Acepta y comienza la misión seleccionada.
Modal/&QuestInProgressTitle	En curso
Modal/&SolastaBackers	Patrocinadores de Solasta
Modal/&EternalHeroesTitle	A nuestros héroes eternos
Modal/&TeleportButtonTitle	Teletransportarse
Modal/&TeleportButtonDescription	Teletransporta instantáneamente al grupo al interior del destino, cerca de la Puerta Mayor.
Modal/&VictoryTitle	¡La fiesta sale victoriosa!
Modal/&StatHitAccuracyTitle	Precisión de golpe:
Modal/&StatHitAccuracyDescription	El porcentaje de tiradas exitosas con armas o ataques mágicos.
Modal/&StatCriticalHitsTitle	Golpes críticos:
Modal/&StatCriticalHitsDescription	El número de golpes críticos logrados por este personaje en las tiradas de ataque (arma y magia)
Modal/&StatCriticalFailuresTitle	Fallos críticos:
Modal/&StatCriticalFailuresDescription	El número de fallas críticas sufridas por este personaje en las tiradas de ataque (armas y magia)
Modal/&StatInflictedDamageTitle	Daño infligido:
Modal/&StatInflictedDamageDescription	El número total de puntos de daño infligidos por personajes.
Modal/&StatSlainEnemiesTitle	Enemigos asesinados:
Modal/&StatSlainEnemiesDescription	El número de enemigos por los que este personaje asestó el golpe final.
Modal/&StatSustainedInjuriesTitle	Lesiones sostenidas:
Modal/&StatSustainedInjuriesDescription	El número total de puntos de vida perdidos por este personaje.
Modal/&StatRestoredHealthTitle	Salud restaurada:
Modal/&StatRestoredHealthDescription	El número total de puntos de vida restaurados por este personaje.
Modal/&StatUsedMagicAndPowersTitle	Magia y poderes usados:
Modal/&StatUsedMagicAndPowersDescription	El número total de espacios para hechizos y cargas de poder utilizados por el personaje.
Modal/&StatTravelledCellsTitle	Células viajadas:
Modal/&StatTravelledCellsDescription	El número de celdas que ha ingresado el personaje, en las 3 dimensiones. Representa el "kilometraje" del personaje
Modal/&StatKnockOutsTitle	Knockouts:
Modal/&StatKnockOutsDescription	El número de veces que el personaje ha caído inconsciente o ha muerto.
Modal/&StatEarnedXPTitle	XP ganado:
Modal/&StatEarnedXPDescription	La cantidad de puntos de experiencia ganados por el personaje.
Modal/&StatGameTimeTitle	Tiempo de juego:
Modal/&StatGameTimeDescription	El tiempo total (incluidos los descansos) que el grupo ha pasado en el juego.
Modal/&StatShortRestsTitle	Descansos breves:
Modal/&StatShortRestsDescription	El número de descansos breves completados por el grupo.
Modal/&StatLongRestsTitle	Descansos largos:
Modal/&StatLongRestsDescription	El número de descansos largos completados por el grupo.
Modal/&StatGameTimeFormat	{0} d {1} h {2} m {3} s
Modal/&UpdateFileTitle	Actualizar archivo
Modal/&UpdateFileDescription	Actualizar el archivo de carácter de este personaje, por lo que el progreso y el botín se guardan para otras aventuras. Dichos personajes no se podrán utilizar en la campaña principal de Solasta.
Modal/&PregenCharacterCannotUpdateTitle	Personaje pregenético
Modal/&PregenCharacterCannotUpdateDescription	Este personaje está pregenerado por el juego y no se puede actualizar.
Modal/&ContinueTitle	Continuar
Modal/&ContinueDescription	vuelve al menú principal
Modal/&SelectUserLocationTitle	Selecciona una ubicación
Modal/&UserLocationSettingsTitle	Configuración de ubicación
Modal/&UserLocationSettingsApplyTitle	Solicitar
Modal/&CheatsTitle	Trucos de prueba
Modal/&IdleMonstersToggleTitle	Monstruos inactivos
Modal/&IdleMonstersToggleDescription	Los monstruos no entablan batalla cuando te ven. {0}
Modal/&InviciblePartyToggleTitle	Fiesta Invicible
Modal/&InviciblePartyToggleDescription	Los personajes del grupo son invencibles en la batalla. {0}
Modal/&RevealFogOfWarButtonTitle	Revelar niebla de guerra
Modal/&RevealFogOfWarButtonDescription	Despeja la niebla de guerra en toda la ubicación, para que puedas ver el interior de cada habitación. {0}
Modal/&KIllBattleEnemiesButtonTitle	Mata a los enemigos de batalla
Modal/&KIllBattleEnemiesButtonDescription	Mata a todos los enemigos en la batalla. {0}
Modal/&IdleMonstersOnDescription	El monstruo ahora está inactivo
Modal/&IdleMonstersOffDescription	Los monstruos vuelven a estar activos
Modal/&InviciblePartyOnDescription	La fiesta ahora es invencible
Modal/&InviciblePartyOffDescription	La fiesta ya no es invencible
Modal/&RevealFogOfWarOnDescription	La niebla de la guerra ahora se revela completamente
Modal/&RevealFogOfWarOffDescription	La niebla de la guerra está activa de nuevo
Modal/&MonsterFilterAllTitle	Todos los monstruos
Modal/&FilterKeywordTitle	Filtrar
Modal/&FilterKeywordDescription	Filtrar la lista con elementos que coincidan con la palabra clave especificada
Modal/&ClearKeywordDescription	Borra la palabra clave seleccionada y cancela el filtrado
Modal/&InputKeywordTitle	Inserte palabra clave:
