Rules/&AbilityAndSkillFormat	{0} ({1})
Rules/&ConditionCursedWisdomDescription	Desventaja en las tiradas de salvación de SAB y pruebas de habilidad.
Rules/&ConditionCursedWisdomTitle	Maldito (Sabiduría)
Rules/&ConditionDarkvisionDescription	Veo de forma normal en sitios con poca luz, y como si hubiera poca luz cuando hay oscuridad.
Rules/&ConditionDarkvisionTitle	Visión en la oscuridad
Rules/&ConditionDazzledDescription	No puede hacer reacciones y tiene una penalización de -2 a la CA.
Rules/&ConditionDazzledTitle	Deslumbrado
Rules/&ConditionDeadDescription	No puede actuar hasta que sea revivido o resucitado.
Rules/&ConditionDeadTitle	Muerto
Rules/&ConditionDeafenedDescription	No puedo oír nada.
Rules/&ConditionDeafenedTitle	Ensordecido
Rules/&ConditionDetectEvilandGoodDescription	Detectado como aberración, celestial, elemental, feérico, demonio o no muerto.
Rules/&ConditionDetectEvilandGoodTitle	Detectado como maligno / bueno
Rules/&ConditionDetectMagicDescription	Capaz de detectar magia cercana.
Rules/&ConditionDetectMagicTitle	Detectar magia
Rules/&ConditionDiscipleImmuneColdDescription	Inmune al daño por frío y recupera PG del daño por frío.
Rules/&ConditionDiscipleImmuneColdTitle	Erudito de los elementos (frío)
Rules/&ConditionDiscipleImmuneFireDescription	Inmune al daño por fuego y recupera PG del daño por fuego.
Rules/&ConditionDiscipleImmuneFireTitle	Erudito de los elementos (fuego)
Rules/&ConditionDiscipleImmuneLightningDescription	Inmune al daño por rayo y recupera PG del daño por rayo.
Rules/&ConditionDiscipleImmuneLightningTitle	Erudito de los elementos (Rayo)
Rules/&ConditionDiseasedDescription	La criatura está afligida por una enfermedad.
Rules/&ConditionDiseasedTitle	Enfermo
Rules/&ConditionDisengagingDescription	No se ve afectado por los ataques de oportunidad.
Rules/&ConditionDisengagingTitle	Destrabado
Rules/&ConditionDivineFavorDescription	Inflige 1d4 de daño radiante adicional.
Rules/&ConditionDivineFavorTitle	Favor divino
Rules/&ConditionDivinelyRevealedDescription	El lanzador de este efecto conoce el tipo y la posición de la criatura.
Rules/&ConditionDivinelyRevealedTitle	Divinamente revelado
Rules/&ConditionDodgingDescription	Los ataques a la criatura tienen desventaja.
Rules/&ConditionDodgingTitle	Esquivando
Rules/&ConditionDyingDescription	Morirá pronto a menos que se estabilice.
Rules/&ConditionDyingTitle	Moribundo
Rules/&ConditionEncumberedDescription	La velocidad se reduce en 2.
Rules/&ConditionEncumberedTitle	Carga ligera
Rules/&ConditionEnfeebledDescription	Mitad de daño en ataques basados ​​en la FUE.
Rules/&ConditionEnfeebledTitle	Debilitado
Rules/&ConditionEntangledTitle	Enredado
Rules/&ConditionExhaustedDescription	Debilitado por el agotamiento.
Rules/&ConditionExhaustedTitle	Exhausto
Rules/&ConditionExpeditiousRetreatDescription	Puede lanzarse como acción adicional.
Rules/&ConditionExpeditiousRetreatTitle	Retirada expeditiva
Rules/&ConditionFalseLifeDescription	Puntos de vida temporales adicionales.
Rules/&ConditionFalseLifeTitle	Falsa vida
Rules/&ConditionFeatherFallingDescription	No puede ser dañado por caídas.
Rules/&ConditionFeatherFallingTitle	Caída de pluma
Rules/&ConditionFlyingDescription	La criatura objetivo gana velocidad de vuelo de 12 casillas por acción de movimiento.
Rules/&ConditionFlyingTitle	Volador
Rules/&ConditionForceOfLawDescription	Impone desventaja en la siguiente tirada de salvación del objetivo.
Rules/&ConditionForceOfLawTitle	Fuerza de la ley
Rules/&ConditionFormAddBeneficialFormat	Otorga: {0}
Rules/&ConditionFormAddDetrimentalFormat	Inflige: {0}
Rules/&ConditionFormAddNeutralFormat	Se convierte en: {0}
Rules/&ConditionFormRemoveDetrimentalAllFormat	Elimina todas las apariciones de estas condiciones: {0}.
Rules/&ConditionFormRemoveDetrimentalRandomFormat	Elimina una aparición aleatoria de estas condiciones: {0}.
Rules/&ConditionFormRemoveFormat	Elimina: {0}
Rules/&ConditionFrightenedDescription	Incapaz de acercarse a la fuente del miedo, desventaja en las tiradas de ataque y pruebas de habilidad.
Rules/&ConditionFrightenedFearDescription	Debe huir de la fuente del miedo.
Rules/&ConditionFrightenedFearTitle	Asustado (Miedo)
Rules/&ConditionFrightenedTitle	Aterrado
Rules/&ConditionGateKeeperDescription	Aprovecha los tiros de salvación de la muerte.
Rules/&ConditionGateKeeperTitle	Guardián de la puerta
Rules/&ConditionGiantStrengthCloudDescription	La fuerza se convierte en 27
Rules/&ConditionGiantStrengthCloudTitle	Fuerza gigante (nube)
Rules/&ConditionGiantStrengthFireDescription	La fuerza se convierte en 25
Rules/&ConditionGiantStrengthFireTitle	Fuerza gigante (fuego)
Rules/&ConditionGiantStrengthFrostDescription	La fuerza se convierte en 23
Rules/&ConditionGiantStrengthFrostTitle	Fuerza gigante (escarcha)
Rules/&ConditionGiantStrengthHillDescription	La fuerza se convierte en 21
Rules/&ConditionGiantStrengthHillTitle	Fuerza gigante (colina)
Rules/&ConditionGrappledDescription	No se puede mover.
Rules/&ConditionGrappledTitle	Aferrado
Rules/&ConditionGuidedDescription	Agrega 1d4 a una prueba de habilidad.
Rules/&ConditionGuidedTitle	Guiado
Rules/&ConditionHastedDescription	La velocidad se duplica\n+2 AC\nLos tiradas de salvación de Destreza tienen ventaja\nCapaz de realizar una acción más por turno (Atacar, Correr, Esquivar, Destrabarse, Esconderse, Usar Objeto).
Rules/&ConditionHastedTitle	Acelerado
Rules/&ConditionHealthyDescription	No herido.
Rules/&ConditionHealthyTitle	Sano
Rules/&ConditionHeavilyEncumberedDescription	La velocidad se reduce en 4.\nDesventaja de las tiradas de ataque.
Rules/&ConditionHeavilyEncumberedTitle	Muy cargado
Rules/&ConditionHeavilyObscuredTitle	Muy oscurecido
Rules/&ConditionHeraldOfBattleDescription	+1 a CA; +1 al ataque y daño; +1 a todas las tiradas de salvación.
Rules/&ConditionHeraldOfBattleTitle	Bendecido por Heraldo de Batalla
Rules/&ConditionHeroismTitle	Heroísmo
Rules/&ConditionHighlightedDescription	La criatura no puede beneficiarse de la invisibilidad\nLos atacantes tienen ventaja.
Rules/&ConditionHighlightedTitle	Iluminado
Rules/&ConditionHinderedDescription	Velocidad de movimiento -2.
Rules/&ConditionHinderedTitle	Relentizado
Rules/&ConditionIncapacitatedDescription	Incapaz de hacer acciones o reacciones.
Rules/&ConditionIncapacitatedTitle	Incapacitado
Rules/&ConditionInStinkingCloudDescription	La criatura tiene que hacer una salvación de CON con éxito para actuar en su turno.\nLa visión está muy oscurecida.
Rules/&ConditionInStinkingCloudTitle	En una nube apestosa
Rules/&ConditionInvisibleDescription	No se puede ver sin magia\nLa criatura tiene ventaja en los ataques\nLos atacantes contra la criatura tienen desventaja.
Rules/&ConditionInvisibleTitle	Invisible
Rules/&ConditionJumpDescription	Aumenta la distancia de salto.
Rules/&ConditionJumpTitle	Saltar
Rules/&ConditionLethargicDescription	La criatura no puede moverse ni realizar ninguna acción hasta después de su siguiente turno.
Rules/&ConditionLethargicTitle	Letárgico
Rules/&ConditionLevitateDescription	La criatura objetivo se eleva\nEl lanzador puede moverlo hacia arriba o hacia abajo.
Rules/&ConditionLevitateTitle	Levitando
Rules/&ConditionLifeDrainedDescription	Los puntos de golpe máximos se reducen hasta que se completa un descanso prolongado.
Rules/&ConditionLifeDrainedTitle	Agotado
Rules/&ConditionLightHypersensitiveDescription	Herido por la luz.
Rules/&ConditionLightHypersensitiveTitle	Hipersensible a la luz
Rules/&ConditionLightSensitiveDescription	Desventajado por la luz.
Rules/&ConditionLightSensitiveTitle	Sensible a la luz
Rules/&ConditionLongstriderDescription	La velocidad de movimiento aumenta en 2 celdas.
Rules/&ConditionLongstriderTitle	Zancudo largo
Rules/&ConditionMagicallyArmoredDescription	La CA base se establece en 13.
Rules/&ConditionMagicallyArmoredTitle	Armadura mágica
Rules/&ConditionMagicallyAsleepDescription	Incapaz de actuar hasta que se despierta.
Rules/&ConditionMagicallyAsleepTitle	Sueño mágico
Rules/&ConditionMagicalWeaponDescription	El arma puede herir a enemigos que son inmunes a ataques no mágicos.
Rules/&ConditionMagicalWeaponTitle	Arma mágica
Rules/&ConditionMarkedByBrandingSmiteDescription	Emite luz; no puede volverse invisible; revelado si es invisible.
Rules/&ConditionMarkedByBrandingSmiteTitle	Branding Smite
Rules/&ConditionMarkedByHunterDescription	Recibe +1d6 de daño cuando es golpeado por el taumaturgo.
Rules/&ConditionMarkedByHunterTitle	Marcado
Rules/&ConditionMindControlledTitle	Controlado por la mente
Rules/&ConditionOnFireDescription	Sostiene daños continuos por fuego a menos que el fuego se extinga mediante una acción.
Rules/&ConditionOnFireTitle	En llamas
Rules/&ConditionParalyzedDescription	Incapaz de actuar\nLos ataques contra la criatura tienen ventaja\nGolpe crítico automático si es atacado cuerpo a cuerpo.
Rules/&ConditionParalyzedTitle	Paralizado
Rules/&ConditionPetrifiedDescription	Convertido en piedra\nDifícilmente se puede lastimar.
Rules/&ConditionPetrifiedTitle	Petrificado
Rules/&ConditionPoisonedDescription	Desventaja en ataques y pruebas de habilidad.
Rules/&ConditionPoisonedTitle	Envenenado
Rules/&ConditionPossessedDescription	Controlado por un ser sobrenatural.
Rules/&ConditionPossessedTitle	Poseído
Rules/&ConditionProneDescription	Solo puede moverse arrastrándose\nVulnerable a ataques cercanos.
Rules/&ConditionProneTitle	Derribado
Rules/&ConditionProtectedFromEvilTitle	Protegido del bien y del mal
Rules/&ConditionResistingDescription	Suma +1d4 a una tirada de salvación.
Rules/&ConditionResistingTitle	Resistente
Rules/&ConditionRestrainedDescription	Incapaz de moverse\nLos ataques de la criatura y las tiradas de salvación de Destreza tienen desventaja\nLos ataques contra la criatura tienen ventaja.
Rules/&ConditionRestrainedTitle	Apresado
Rules/&ConditionSeeInvisibilityDescription	Puede percibir criaturas invisibles.
Rules/&ConditionSeeInvisibilityTitle	Vista de invisibilidad
Rules/&ConditionSeverelyWoundedDescription	Pronto morirá.
Rules/&ConditionSeverelyWoundedTitle	Gravemente herido
Rules/&ConditionShieldedByFaithDescription	Clase de armadura +2.
Rules/&ConditionShieldedByFaithTitle	Protegido por la fe
Rules/&ConditionShieldedDescription	La clase de armadura aumenta en +5 y tiene inmunidad a los misiles mágicos.
Rules/&ConditionShieldedTitle	Blindado
Rules/&ConditionShockedDescription	No se pueden hacer reacciones.
Rules/&ConditionShockedTitle	Conmocionado
Rules/&ConditionSleetStormDescription	Terreno difícil; puede caer boca abajo; muy oscurecido; debe rodar control de concentración.
Rules/&ConditionSleetStormTitle	En tormenta de aguanieve
Rules/&ConditionSlowedDescription	Velocidad reducida a la mitad\n-2 CA y tiradas de salvación de DES\nMáximo una acción o acción adicional\nSin reacción\nMáximo un ataque por turno\nEl lanzamiento de hechizos puede fallar.
Rules/&ConditionSlowedTitle	Ralentizado
Rules/&ConditionSpiderClimbDescription	Puede trepar como las arañas.
Rules/&ConditionSpiderClimbTitle	Trepar cual araña
Rules/&ConditionSpiritGuardiansDescription	La velocidad se reduce a la mitad\nPuede sufrir daños al comienzo de cada turno.
Rules/&ConditionSpiritGuardiansSelfDescription	El personaje está actualmente protegido por Spirit Guardians.
Rules/&ConditionSpiritGuardiansSelfTitle	Protegido por espíritus.
Rules/&ConditionSpiritGuardiansTitle	Dirigido por los espíritus
Rules/&ConditionStealthyDescription	Escondiéndose activamente.
Rules/&ConditionStealthyTitle	en sigilo
Rules/&ConditionStunnedDescription	Incapaz de actuar o moverse\nLos ataques contra la criatura tienen ventaja\nFalla automáticamente las tiradas de salvación de Fuerza y ​​Destreza.
Rules/&ConditionStunnedTitle	Aturdido
Rules/&ConditionSurprisedDescription	Incapaz de actuar durante una ronda.
Rules/&ConditionSurprisedTitle	Sorprendido
Rules/&ConditionTargetedByGuidingBoltDescription	El primer ataque contra esta criatura tiene ventaja.
Rules/&ConditionTargetedByGuidingBoltTitle	Tocado por Saeta guía
Rules/&ConditionTemporaryHitPointsDescription	La criatura gana puntos de golpe temporales.
Rules/&ConditionTemporaryHitPointsTitle	PG temporales
Rules/&ConditionTraditionShockArcanistArcaneFuryDescription	El daño de los hechizos de evocación aumenta con la bonificación de competencia y la bonificación INT.
Rules/&ConditionTraditionShockArcanistArcaneFuryTitle	Furia arcana
Rules/&ConditionTrueStrikeDescription	Lanzador tiene ventaja en su primer ataque contra el objetivo del hechizo.
Rules/&ConditionTrueStrikeTitle	True Strike
Rules/&ConditionTurnedDescription	Debe alejarse del lanzador.
Rules/&ConditionTurnedTitle	Convertido
Rules/&ConditionTypeBeneficialFormat	Condición beneficiosa
Rules/&ConditionTypeDetrimentalFormat	Condición perjudicial
Rules/&ConditionTypeNeutralFormat	Condición neutra
Rules/&ConditionUnconsciousDescription	Incapaz de actuar hasta que se despierte.
Rules/&ConditionUnconsciousTitle	Inconsciente
Rules/&ConditionVampiricTouchDescription	Puede realizar un ataque de hechizo vampírico cuerpo a cuerpo cada turno.
Rules/&ConditionVampiricTouchTitle	Toque vampírico
Rules/&ConditionWoundedDescription	Pérdida de algunos puntos de golpe.
Rules/&ConditionWoundedTitle	Herido
Rules/&CostFormat	{0} {1}
Rules/&CounterFormBreakConcentrationFormat	Provoca un control de concentración.
Rules/&CounterFormDisperseCloudFormat	Dispersa las nubes en la zona.
Rules/&CounterFormDissipateSpellsFormat	Hechizo hasta el nivel {0} disipado automáticamente, CD {1} + nivel del hechizo en caso contrario.
Rules/&CounterFormExtinguishLightFormat	Extingue las fuentes de luz de la zona.
Rules/&CounterFormInterruptSpellcastingFormat	Hechizo hasta el nivel {0} contrarrestado automáticamente, CD {1} + nivel del hechizo en caso contrario.
Rules/&CounterFormRemoveDarknessFormat	Elimina áreas de oscuridad.
Rules/&DamageAcidDescription	El rocío corrosivo del aliento de un dragón negro y las enzimas que se disuelven secretadas por una morcilla causan daño ácido.
Rules/&DamageAcidTitle	Ácido
Rules/&DamageBludgeoningDescription	Los ataques de fuerza contundente (martillos, caídas, constricción y similares) causan un daño contundente.
Rules/&DamageBludgeoningTitle	Aplastante
Rules/&DamageColdDescription	El escalofrío infernal que irradia la lanza de un diablo de hielo y la ráfaga gélida del aliento de un dragón blanco infligen daño por frío.
Rules/&DamageColdTitle	Frío
Rules/&DamageFireDescription	Los dragones rojos respiran fuego y muchos hechizos conjuran llamas para infligir daño por fuego.
Rules/&DamageFireTitle	Fuego
Rules/&DamageForceDescription	La fuerza es pura energía mágica concentrada en una forma dañina. La mayoría de los efectos que infligen daño por fuerza son hechizos, incluidos misiles mágicos y armas espirituales.
Rules/&DamageForceTitle	Fuerza
Rules/&DamageFormFormat	{0} {1} {2} {3} daño {4}
Rules/&DamageFormTightFormat	{0} {1} {2} {3} dmg {4}
Rules/&DamageLightningDescription	Un hechizo de rayo y el aliento de un dragón azul infligen daño por rayo.
Rules/&DamageLightningTitle	Relámpago
Rules/&DamageNecroticDescription	Daño necrótico, infligido por ciertos muertos vivientes y hechizos como toque frío, materia seca e incluso el alma.
Rules/&DamageNecroticTitle	Necrótico
Rules/&DamagePiercingDescription	Los ataques de perforar y empalar, incluidas lanzas y mordeduras de monstruos, infligen daño perforante.
Rules/&DamagePiercingTitle	Perforante
Rules/&DamagePoisonDescription	Las picaduras venenosas y el gas tóxico del aliento de un dragón verde infligen daño por veneno.
Rules/&DamagePoisonTitle	Veneno
Rules/&DamagePsychicDescription	Las habilidades mentales infligen daño psíquico.
Rules/&DamagePsychicTitle	Psíquico
Rules/&DamageRadiantDescription	El daño radiante, causado por el hechizo de golpe de fuego de un clérigo o el arma de un ángel, quema la carne como fuego y sobrecarga el espíritu de poder.
Rules/&DamageRadiantTitle	Radiante
Rules/&DamageSlashingDescription	Las espadas, las hachas y las garras de los monstruos infligen un daño cortante.
Rules/&DamageSlashingTitle	Cortante
Rules/&DamageThunderDescription	Una explosión de sonido conmovedora, como el efecto del hechizo de onda de trueno, inflige daño de trueno.
Rules/&DamageThunderTitle	Trueno
Rules/&DamageTitle	Daño:
Rules/&DcFormat	CD {0}
Rules/&DieD10Title	d10
Rules/&DieD12Title	d12
Rules/&DieD1Title	d1
Rules/&DieD20Title	d20
Rules/&DieD2Title	d2
Rules/&DieD3Title	d3
Rules/&DieD4Title	d4
Rules/&DieD6Title	d6
Rules/&DieD8Title	d8
Rules/&DivinationFormFormatIdentifyItem	Revela todas las propiedades de un artículo.
Rules/&DivinationFormFormatListCreatureFamilyInLocation	Detecta la presencia de tipos de criaturas: {0}.
Rules/&DivinationFormFormatRevealEntitiesBearingTags	Revela criaturas u objetos que son {0}.
Rules/&DurationAnyRestFormat	Hasta descansar
Rules/&DurationDayPluralFormat	{0} días 
Rules/&DurationDaySingleFormat	{0} día 
Rules/&DurationHourPluralFormat	{0} horas 
Rules/&DurationHourSingleFormat	{0} hora 
Rules/&DurationInstantaneousFormat	Instantáneo
Rules/&DurationLessMinuteFormat	<1 min
Rules/&DurationLongRestFormat	Hasta hacer un descanso largo
Rules/&DurationMinutePluralFormat	{0} minutos 
Rules/&DurationMinuteSingleFormat	{0} minuto 
Rules/&DurationNoneFormat	{0} ronda 
Rules/&DurationPermanentFormat	Permanente
Rules/&DurationRoundPluralFormat	{0} rondas 
Rules/&DurationRoundSingleFormat	{0} ronda
Rules/&DurationShortRestFormat	Hasta hacer un descanso corto
Rules/&DurationUntilEndOfSourceTurnFormat	Hasta el final del turno del personaje fuente.
Rules/&DurationUntilEndOfTargetTurnFormat	Hasta el final del turno de este personaje.
Rules/&DurationUntilStartOfSourceTurnFormat	Hasta el comienzo del turno del personaje fuente.
Rules/&DurationUntilStartOfTargetTurnFormat	Hasta el inicio del turno de este personaje.
Rules/&EffectRangeDistanceTitle	{0}
Rules/&EffectRangeMeleeHitTitle	Cuerpo a cuerpo
Rules/&EffectRangeRangeHitTitle	{0}
Rules/&EffectRangeSelfTitle	Uno mismo
Rules/&EffectRangeTouchTitle	Toque
Rules/&EffectTargetConeTitle	{0} {1}
Rules/&EffectTargetCubeTitle	{0} {1}
Rules/&EffectTargetCylinderTitle	{0} {1} x {2}
Rules/&EffectTargetIndividualsTitle	{0} {1}
Rules/&EffectTargetIndividualsUniqueTitle	{0} {1}
Rules/&EffectTargetInLineOfSightWithinDistanceTitle	A la vista {0}
Rules/&EffectTargetItemTitle	Objeto
Rules/&EffectTargetLineTitle	{0} {1}
Rules/&EffectTargetPerceivingWithinDistanceTitle	{0} {1}
Rules/&EffectTargetPositionTitle	Suelo
Rules/&EffectTargetSelfTitle	Uno mismo
Rules/&EffectTargetSharedAmongIndividualsTitle	{0} <> {1}
Rules/&EffectTargetSphereTitle	{0} {1}
Rules/&EffectTargetWallLineTitle	{0} {1} x {2}
Rules/&EffectTargetWallRingTitle	{0} {1} x {2}
Rules/&HealingFormFormat	{0} {1} {2} de Curación
Rules/&HealingStabilize	Estabiliza a una criatura moribunda.
Rules/&HeightFormatFeet	{0} '
Rules/&HeightFormatFeetInches	{0} '{1} "; {0}' {1} ''; {0} '{1}"
Rules/&HeightFormatInches	{0} "; {0} ''; {0}"
Rules/&ItemPropertyFormFormat	En el artículo de destino:\n{0}
Rules/&LightSourceFormFormat	Fuente de luz: {0} brillante + {1} tenue 
Rules/&MaterialComponentTitle	M
Rules/&MotionFormLevitateFormat	Levitar {0}
Rules/&MotionFormPullFormat	Tira {0}
Rules/&MotionFormPushFormat	Empujar {0} 
Rules/&MotionFormTeleportFormat	Teletransportarse {0}
Rules/&RateAtWillFormatTitle	a voluntad
Rules/&RateChannelDivinityFormatTitle	Descanso corto
Rules/&Rated6FormatTitle	en 5 o 6 en 1d6
Rules/&RateDawnFormatTitle	amanecer
Rules/&RateHealingPoolFormatTitle	Reserva Curativa
Rules/&RateLongRestFormatTitle	Descanso largo
Rules/&RateNoneFormatTitle	ninguno
Rules/&RateOneMinuteFormatTitle	Cada minuto
Rules/&RateShortRestFormatTitle	Descanso corto
Rules/&RateSpellSlotFormatTitle	ranuras de hechizo
Rules/&RecipeRequiredIngredientMultipleFormat	{0} x {1}
Rules/&RecipeRequiredIngredientSingleFormat	{0}
Rules/&RecipeRequiredSpellFormat	Capacidad para lanzar el hechizo {0}.
Rules/&RecipeRequiredTooltypeFormat	Competencia con {0}
Rules/&SaveAffinityHalfDamageTitle	({0} de daño si supera la tirada de salvación)
Rules/&SaveAffinityNegateAndCancelEachTurnTitle	(Se hará una tirada de savación cada turno para intentar cancelar el efecto)
Rules/&SaveAffinityNegateTitle	(la tirada de salvación anula el efecto)
Rules/&SituationalContextAttackerAwayFromTargetFormat	Si el atacante está a distancia del objetivo:
Rules/&SituationalContextAttackerNextToTargetFormat	Si el atacante está al lado del objetivo:
Rules/&SituationalContextAttackerOnHigherGroundThanTargetFormat	Si el atacante está en un terreno más alto:
Rules/&SituationalContextConsciousAllyNextToTargetFormat	si el atacante tiene un aliado consciente al lado del objetivo:
Rules/&SituationalContextNextToWallFormat	si la criatura está al lado de una pared:
Rules/&SituationalContextTargetIsEffectSourceFormat	si la criatura está atacando la fuente del efecto:
Rules/&SomaticComponentTitle	S
Rules/&SpellLevel0FormatTitle	Truco
Rules/&SpellLevel1FormatTitle	1 lvl
Rules/&SpellLevel2FormatTitle	2 lvl
Rules/&SpellLevel3FormatTitle	3 lvl
Rules/&SpellLevel4FormatTitle	4 lvl
Rules/&SpellLevel5FormatTitle	5 lvl
Rules/&SpellLevel6FormatTitle	6 lvl
Rules/&SpellLevel7FormatTitle	7 lvl
