Gadget/&CampfireTitle	Campfire
Gadget/&ParameterLoreFormatDescription	The form in which lore information is presented to the user
Gadget/&ParameterLoreFormatMainCharacterTitle	Main Character
Gadget/&ParameterLoreFormatMainCharacterDescription	The content is displayed as banter over the head of the first conscious character in the party
Gadget/&ParameterLoreFormatRandomCharacterTitle	Random Character
Gadget/&ParameterLoreFormatRandomCharacterDescription	The content is displayed as banter over the head of a random conscious party member and disappears after the duration
Gadget/&ParameterLoreFormatGadgetFeedbackTitle	Gadget Feedback
Gadget/&ParameterLoreFormatGadgetFeedbackDescription	The content is displayed at the triggering gadget's position
Gadget/&ParameterLoreFormatTopHeaderTitle	Top Header
Gadget/&ParameterLoreFormatTopHeaderDescription	The content appears at the top of the screen in large-character font and disappears after the duration
Gadget/&ParameterLoreFormatTimedPanelTitle	Timed Panel
Gadget/&ParameterLoreFormatTimedPanelDescription	The content is displayed on a panel at the bottom of the screen and disappears after the duration
Gadget/&ParameterLoreFormatModalPanelTitle	Modal Panel
Gadget/&ParameterLoreFormatModalPanelDescription	The content is displayed on a panel in the center of the screen, which remains visible until the user has acknowledged it
Gadget/&PushBlockTitle	Pushable Block
Gadget/&PushBlockDescription	A block that can be pushed one cell by a character
Gadget/&FallingStalactiteTitle	Falling Stalactite
Gadget/&FallingStalactiteDescription	A hanging stalactite that can be damaged and cause fall damage
Gadget/&ParameterParam_DisplayOnceTitle	Display Once
Gadget/&ParameterParam_DisplayOnceDescription	If this option is checked, the lore information is displayed only once when the gadget is triggered
Gadget/&ActivatorEntryTitle	Entry Activator
Gadget/&ActivatorEntryDescription	An activator that is triggered when the location is entered. Since this gadget does not react to character positions or interactions, it can be placed anywhere in a room
Gadget/&ParameterParam_EntryOnceTitle	Entry Once
Gadget/&ParameterParam_EntryOnceDescription	If this option is checked, the lore information is displayed only once when the gadget is triggered
Gadget/&LoreActivatedTitle	Activated Lore
Gadget/&LoreActivatedDescription	This gadget will display lore when triggered by an activator gadget (e.g. an Entry Activator). It can be placed in any free space as it is invisible and non-interactive
Gadget/&ParameterParam_DefaultAsActivatedTitle	Activated
Gadget/&ParameterParam_DefaultAsActivatedDescription	Determines if this activator is activated by default
Gadget/&ParameterKeyItemTitle	Key Item
Gadget/&ParameterKeyItemDescription	The object is opened automatically if the party is carrying this item
