Gadget/&CampfireTitle	Fogueira
Gadget/&ActivatorPlateDescription	Uma placa que ativa outros dispositivos quando pisada
Gadget/&ActivatorTimedTitle	Ativador cronometrado
Gadget/&ActivatorTimedDescription	Um gadget invisível que ativa outros gadgets em intervalos regulares
Gadget/&WoodenDoorTitle	Porta de madeira
Gadget/&WoodenDoorDescription	Uma porta simples
Gadget/&ManaLampWallTitle	Lâmpada Mana (parede)
Gadget/&ParameterTargetGadgetsTitle	Gadgets de destino
Gadget/&ParameterTargetGadgetsDescription	Os gadgets que serão acionados pela ativação / desativação deste gadget
Gadget/&ParameterSymetricalTitle	Simétrico
Gadget/&ParameterSymetricalDescription	O ativador pode ser reproduzido para frente e para trás, por exemplo, para abrir / fechar uma porta?
Gadget/&ParameterOperationTitle	Operação
Gadget/&ParameterOperationDescription	O tipo de operação realizada nos gadgets de destino
Gadget/&ParameterOperationActivateTitle	Ativar
Gadget/&ParameterOperationActivateDescription	Ative outros gadgets (exemplo: abrir uma porta)
Gadget/&ParameterOperationDeactivateTitle	Desativar
Gadget/&ParameterOperationDeactivateDescription	Desative outros gadgets (exemplo: feche uma porta)
Gadget/&ParameterOperationActivateSymetricalTitle	Ativar simétrico
Gadget/&ParameterOperationActivateSymetricalDescription	Ativar e desativar para frente e para trás (exemplo: abrir e fechar uma porta)
Gadget/&ParameterOperationEnableTitle	Habilitar
Gadget/&ParameterOperationEnableDescription	Habilitou um ativador, para que ele possa ativar outros gadgets
Gadget/&ParameterOperationDisableTitle	Desabilitar
Gadget/&ParameterOperationDisableDescription	Desativa um ativador que não ativará mais outros gadgets (exemplo: desativar um ativador cronometrado)
Gadget/&ParameterOperationEnableSymetricalTitle	Habilitar Simétrico
Gadget/&ParameterOperationEnableSymetricalDescription	Habilita e desabilita frente e para trás (exemplo: um botão pode habilitar e desabilitar um ativador cronometrado)
Gadget/&LavaBulbTitle	Lâmpada de lava
Gadget/&MechanismTitle	Mecanismo
Gadget/&TorchPikeTitle	Torch Pike
Gadget/&ParameterParam_HardLockedTitle	Hard Locked
Gadget/&ParameterParam_HardLockedDescription	Este gadget não pode ser aberto por meios normais, um ativador remoto é necessário para abri-lo
Gadget/&ParameterParam_DefaultAsLitTitle	Aceso
Gadget/&ParameterParam_DefaultAsLitDescription	Determina se este gadget está aceso por padrão ou apagado se a opção está desmarcada.
Gadget/&ParameterParam_DefaultAsOpenedTitle	Aberto
Gadget/&ParameterParam_DefaultAsOpenedDescription	Determina se este gadget é aberto por padrão
Gadget/&MonsterHTitle	Monstro H
Gadget/&MonsterHDescription	Gera um enorme monstro na posição do gadget
Gadget/&MonsterGTitle	Monster G
Gadget/&MonsterGDescription	Gera um monstro gigantesco na posição do gadget
Gadget/&ParameterAutoSpawnTitle	Auto Spawn
Gadget/&ParameterAutoSpawnDescription	Quando esta opção está desligada, o spawn do monstro requer um ativador remoto, em vez da proximidade de heróis
Gadget/&ParameterLoreFormatTitle	Formato Lore
Gadget/&ParameterLoreFormatDescription	A forma em que as informações de conhecimento são apresentadas ao usuário
Gadget/&ParameterLoreFormatMainCharacterTitle	Personagem principal
Gadget/&ParameterLoreFormatMainCharacterDescription	O conteúdo é exibido como brincadeira sobre a cabeça do primeiro personagem consciente na festa
Gadget/&ParameterLoreFormatRandomCharacterTitle	Personagem aleatório
Gadget/&ParameterLoreFormatRandomCharacterDescription	O conteúdo é exibido como brincadeira sobre a cabeça de um membro consciente aleatório do grupo e desaparece após a duração
Gadget/&ParameterLoreFormatGadgetFeedbackTitle	Feedback sobre o gadget
Gadget/&ParameterLoreFormatGadgetFeedbackDescription	O conteúdo é exibido na posição do gadget acionador
Gadget/&ParameterLoreFormatTopHeaderTitle	Cabeçalho superior
Gadget/&ParameterLoreFormatTopHeaderDescription	O conteúdo aparece na parte superior da tela em fonte de caracteres grandes e desaparece após a duração
Gadget/&ParameterLoreFormatTimedPanelTitle	Painel cronometrado
Gadget/&ParameterLoreFormatTimedPanelDescription	O conteúdo é exibido em um painel na parte inferior da tela e desaparece após a duração
Gadget/&ParameterLoreFormatModalPanelTitle	Painel Modal
Gadget/&ParameterLoreFormatModalPanelDescription	O conteúdo é exibido em um painel no centro da tela, que permanece visível até que o usuário o reconheça
Gadget/&PushBlockTitle	Bloco Pushable
Gadget/&PushBlockDescription	Um bloco que pode ser empurrado uma célula por um caractere
Gadget/&FallingStalactiteTitle	Estalactite em queda
Gadget/&FallingStalactiteDescription	Uma estalactite suspensa que pode ser danificada e causar danos por queda
Gadget/&ParameterParam_DisplayOnceTitle	Exibir uma vez
Gadget/&ParameterParam_DisplayOnceDescription	Se esta opção estiver marcada, as informações de tradição são exibidas apenas uma vez quando o gadget é acionado
Gadget/&ActivatorEntryTitle	Ativador de entrada
Gadget/&ActivatorEntryDescription	Um ativador que é acionado quando o local é inserido. Uma vez que este gadget não reage às posições ou interações dos personagens, ele pode ser colocado em qualquer lugar da sala
Gadget/&ParameterParam_EntryOnceTitle	Entrada uma vez
Gadget/&ParameterParam_EntryOnceDescription	Se esta opção estiver marcada, as informações de tradição são exibidas apenas uma vez quando o gadget é acionado
Gadget/&LoreActivatedTitle	Conhecimento Ativado
Gadget/&LoreActivatedDescription	Este gadget exibirá conhecimento quando acionado por um gadget ativador (por exemplo, um ativador de entrada). Pode ser colocado em qualquer espaço livre, pois é invisível e não interativo
Gadget/&ParameterParam_DefaultAsActivatedTitle	ativado
Gadget/&ParameterParam_DefaultAsActivatedDescription	Determina se este ativador é ativado por padrão
Gadget/&ParameterKeyItemTitle	Item Chave
Gadget/&ParameterKeyItemDescription	O objeto é aberto automaticamente se a festa estiver carregando este item
