Rules/&AbilityAndSkillFormat	{0} ({1})
Rules/&ConditionBrandedDescription	Emite luz; não pode se tornar invisível.
Rules/&ConditionBrandedTitle	De marca
Rules/&ConditionBullsStrengthDescription	Vantagem nos testes de resistência de Força.
Rules/&ConditionCatsGraceDescription	Vantagem em testes de resistência de Destreza e dano de queda reduzido.
Rules/&ConditionCharmedByHypnoticPatternDescription	Incapacitado e velocidade 0, até ser ferido ou acordado.
Rules/&ConditionCharmedByHypnoticPatternTitle	Encantado com hipnose
Rules/&ConditionCharmedDescription	Considera o lançador um aliado.
Rules/&ConditionCharmedTitle	Encantado
Rules/&ConditionChilledDescription	Não pode ganhar pontos de vida. Se for morto-vivo, tem desvantagem ao atacar o lançador.
Rules/&ConditionChilledTitle	Refrigerado
Rules/&ConditionCriticalCharacterDescription	Se esse personagem morrer, o jogo acaba.
Rules/&ConditionCriticalCharacterTitle	Caráter Crítico
Rules/&ConditionCursedActionDescription	Deve fazer um teste de resistência WIS para agir.
Rules/&ConditionCursedActionTitle	Amaldiçoado (Ação)
Rules/&ConditionCursedAttackRollDescription	Desvantagem para uma jogada de ataque contra o lançador.
Rules/&ConditionCursedAttackRollTitle	Amaldiçoado (jogada de ataque)
Rules/&ConditionCursedCharismaDescription	Desvantagem em testes de resistência de CHA e testes de habilidade.
Rules/&ConditionCursedCharismaTitle	Amaldiçoado (Carisma)
Rules/&ConditionCursedConstitutionDescription	Desvantagem em testes de resistência de CON e testes de habilidade.
Rules/&ConditionCursedConstitutionTitle	Amaldiçoado (Constituição)
Rules/&ConditionCursedDamageDescription	Os ataques e feitiços do lançador contra o alvo causam 1d8 de dano necrótico extra.
Rules/&ConditionCursedDamageTitle	Amaldiçoado (dano)
Rules/&ConditionCursedDexterityDescription	Desvantagem em testes de resistência de DEX e testes de habilidade.
Rules/&ConditionCursedDexterityTitle	Amaldiçoado (Destreza)
Rules/&ConditionCursedIntelligenceDescription	Desvantagem em testes de resistência e testes de habilidade INT.
Rules/&ConditionCursedIntelligenceTitle	Amaldiçoado (Inteligência)
Rules/&ConditionCursedStrengthDescription	Desvantagem em testes de resistência de FOR e testes de habilidade.
Rules/&ConditionCursedStrengthTitle	Amaldiçoado (Força)
Rules/&ConditionCursedTitle	Amaldiçoado
Rules/&ConditionCursedWisdomDescription	Desvantagem nos testes de resistência e testes de habilidade do WIS.
Rules/&ConditionCursedWisdomTitle	Amaldiçoado (Sabedoria)
Rules/&ConditionDarkvisionDescription	Veja normalmente com pouca luz e na escuridão natural como se estivesse com pouca luz.
Rules/&ConditionDarkvisionTitle	Visão no escuro
Rules/&ConditionDazzledDescription	Não pode receber reações e tem -2 de penalidade na Classe de Armadura.
Rules/&ConditionDazzledTitle	Deslumbrado
Rules/&ConditionDeadDescription	Não pode agir até ser revivido ou ressuscitado.
Rules/&ConditionDeadTitle	Morto
Rules/&ConditionDeafenedDescription	Não consigo ouvir nada.
Rules/&ConditionDeafenedTitle	Ensurdecido
Rules/&ConditionDetectEvilandGoodDescription	Detectado como aberração, celestial, elemental, fey, demônio ou morto-vivo.
Rules/&ConditionDetectEvilandGoodTitle	Detectado como mau / bom
Rules/&ConditionDetectMagicDescription	Capaz de detectar magia próxima.
Rules/&ConditionDetectMagicTitle	Detectar Magia
Rules/&ConditionDiscipleImmuneColdDescription	Imune a danos de frio e recupera HP do frio.
Rules/&ConditionDiscipleImmuneColdTitle	Acadêmico dos Elementos (frio)
Rules/&ConditionDiscipleImmuneFireDescription	Imune a danos de relâmpagos e recupera HP de relâmpagos.
Rules/&ConditionDiscipleImmuneFireTitle	Estudioso dos Elementos (Fogo)
Rules/&ConditionDiscipleImmuneLightningDescription	Imune a danos de fogo e recupera HP do fogo.
Rules/&ConditionDiscipleImmuneLightningTitle	Estudioso dos Elementos (Relâmpago)
Rules/&ConditionDiseasedDescription	A criatura está sofrendo de uma doença.
Rules/&ConditionDiseasedTitle	Doente
Rules/&ConditionDisengagingDescription	Não afetado por ataques de oportunidade.
Rules/&ConditionDisengagingTitle	Desengaçando
Rules/&ConditionDivineFavorDescription	Causa 1d4 de dano radiante adicional.
Rules/&ConditionDivineFavorTitle	Favor Divino
Rules/&ConditionDivinelyRevealedDescription	O tipo e a posição da criatura são conhecidos pelo lançador deste efeito.
Rules/&ConditionDivinelyRevealedTitle	Divinamente revelado
Rules/&ConditionDodgingDescription	Ataques à criatura têm desvantagem.
Rules/&ConditionDodgingTitle	Esquivando
Rules/&ConditionDyingDescription	Morrerá em breve, a menos que esteja estabilizado.
Rules/&ConditionDyingTitle	Moribundo
Rules/&ConditionEncumberedDescription	A velocidade é reduzida em 2.
Rules/&ConditionEncumberedTitle	Sobrecarregado
Rules/&ConditionEnfeebledDescription	Metade do dano em ataques baseados em STR.
Rules/&ConditionEnfeebledTitle	Enfraquecido
Rules/&ConditionEntangledTitle	Emaranhado
Rules/&ConditionExhaustedDescription	Enfraquecido pela exaustão.
Rules/&ConditionExhaustedTitle	Exausta
Rules/&ConditionExpeditiousRetreatDescription	Pode correr como uma ação bônus.
Rules/&ConditionExpeditiousRetreatTitle	Retiro expedito
Rules/&ConditionFalseLifeDescription	Pontos de vida temporários adicionais.
Rules/&ConditionFalseLifeTitle	Vida falsa
Rules/&ConditionFeatherFallingDescription	Não pode ser ferido por quedas.
Rules/&ConditionFeatherFallingTitle	Pena caindo
Rules/&ConditionFlyingDescription	A criatura alvo ganha uma velocidade de vôo de 12 células por ação de movimento.
Rules/&ConditionFlyingTitle	Vôo
Rules/&ConditionForceOfLawDescription	Impor desvantagem no próximo teste de resistência do alvo.
Rules/&ConditionForceOfLawTitle	Força da Lei
Rules/&ConditionFormAddBeneficialFormat	Concessões: {0}
Rules/&ConditionFormAddDetrimentalFormat	Inflige: {0}
Rules/&ConditionFormAddNeutralFormat	Torna-se: {0}
Rules/&ConditionFormRemoveDetrimentalAllFormat	Remove todas as ocorrências destas condições: {0}.
Rules/&ConditionFormRemoveDetrimentalRandomFormat	Remove uma ocorrência aleatória dessas condições: {0}.
Rules/&ConditionFormRemoveFormat	Remove: {0}
Rules/&ConditionFrightenedDescription	Incapaz de se aproximar da fonte do medo, desvantagem nas jogadas de ataque e testes de habilidade.
Rules/&ConditionFrightenedFearDescription	Deve fugir da fonte do medo.
Rules/&ConditionFrightenedFearTitle	Amedrontado (Medo)
Rules/&ConditionFrightenedTitle	Assustado
Rules/&ConditionGateKeeperDescription	Vantagem para testes de resistência de morte.
Rules/&ConditionGateKeeperTitle	Gate Keeper
Rules/&ConditionGiantStrengthCloudDescription	Força torna-se 27
Rules/&ConditionGiantStrengthCloudTitle	Força gigante (nuvem)
Rules/&ConditionGiantStrengthFireDescription	Força torna-se 25
Rules/&ConditionGiantStrengthFireTitle	Força gigante (fogo)
Rules/&ConditionGiantStrengthFrostDescription	Força torna-se 23
Rules/&ConditionGiantStrengthFrostTitle	Força gigante (geada)
Rules/&ConditionGiantStrengthHillDescription	Força torna-se 21
Rules/&ConditionGiantStrengthHillTitle	Força gigante (colina)
Rules/&ConditionGrappledDescription	Não pode se mover.
Rules/&ConditionGrappledTitle	Agarrado
Rules/&ConditionGuidedDescription	Adicione 1d4 a um teste de habilidade.
Rules/&ConditionGuidedTitle	Guiada
Rules/&ConditionHastedDescription	A velocidade é dobrada; +2 AC; Os testes de resistência de destreza têm vantagem; capaz de realizar mais uma ação por turno (Ataque, Dash, Dodge, Disengage, Hide, Use Item).
Rules/&ConditionHastedTitle	Hasted
Rules/&ConditionHealthyDescription	Não ferido.
Rules/&ConditionHealthyTitle	Saudável
Rules/&ConditionHeavilyEncumberedDescription	A velocidade é reduzida em 4.\nDesvantagem para jogadas de ataque.
Rules/&ConditionHeavilyEncumberedTitle	Fortemente sobrecarregado
Rules/&ConditionHeavilyObscuredTitle	Fortemente obscurecido
Rules/&ConditionHeraldOfBattleDescription	+1 para AC; +1 para ataque e dano; +1 em todos os testes de resistência.
Rules/&ConditionHeraldOfBattleTitle	Abençoado pelo Arauto da Batalha
Rules/&ConditionHeroismTitle	Heroísmo
Rules/&ConditionHighlightedDescription	A criatura não pode se beneficiar da invisibilidade, os atacantes têm vantagem.
Rules/&ConditionHighlightedTitle	Em destaque
Rules/&ConditionHinderedDescription	Velocidade de movimento -2.
Rules/&ConditionHinderedTitle	Impedido
Rules/&ConditionIncapacitatedDescription	Incapaz de realizar ações ou reações.
Rules/&ConditionIncapacitatedTitle	Incapacitado
Rules/&ConditionInStinkingCloudDescription	A criatura precisa fazer um salvamento de CON bem-sucedido para agir em seu turno.\nA visão está fortemente obscurecida.
Rules/&ConditionInStinkingCloudTitle	Na nuvem fedorenta
Rules/&ConditionInvisibleDescription	Não pode ser visto sem magia; a criatura tem vantagem nos ataques; os atacantes têm desvantagem.
Rules/&ConditionInvisibleTitle	Invisível
Rules/&ConditionJumpDescription	Distância do salto aumentada.
Rules/&ConditionJumpTitle	Pular
Rules/&ConditionLethargicDescription	A criatura não pode se mover ou realizar qualquer ação até depois de seu próximo turno.
Rules/&ConditionLethargicTitle	Letárgico
Rules/&ConditionLevitateDescription	A criatura alvo paira; o rodízio pode movê-lo para cima ou para baixo.
Rules/&ConditionLevitateTitle	Levitando
Rules/&ConditionLifeDrainedDescription	Os pontos de vida máximos são reduzidos até que um longo descanso seja concluído.
Rules/&ConditionLifeDrainedTitle	Drenado
Rules/&ConditionLightHypersensitiveDescription	Ferido pela luz.
Rules/&ConditionLightHypersensitiveTitle	Hipersensibilidade à luz
Rules/&ConditionLightSensitiveDescription	Desfavorecido pela luz.
Rules/&ConditionLightSensitiveTitle	Sensível à Luz
Rules/&ConditionLongstriderDescription	A velocidade de movimento aumenta em 2 células.
Rules/&ConditionLongstriderTitle	Longstrider
Rules/&ConditionMagicallyArmoredDescription	A Classe Base de Armadura é definida como 13.
Rules/&ConditionMagicallyArmoredTitle	Mago Blindado
Rules/&ConditionMagicallyAsleepDescription	Incapaz de agir até acordar.
Rules/&ConditionMagicallyAsleepTitle	Adormecido magicamente
Rules/&ConditionMagicalWeaponDescription	A arma pode ferir inimigos imunes a ataques não mágicos.
Rules/&ConditionMagicalWeaponTitle	Arma mágica
Rules/&ConditionMarkedByBrandingSmiteDescription	Emite luz; não pode se tornar invisível; revelado se invisível.
Rules/&ConditionMarkedByBrandingSmiteTitle	Branding Smite
Rules/&ConditionMarkedByHunterDescription	Recebe + 1d6 de dano ao ser atingido pelo lançador.
Rules/&ConditionMarkedByHunterTitle	Marca do caçador
Rules/&ConditionMindControlledTitle	Mente controlada
Rules/&ConditionOnFireDescription	Sustenta danos contínuos de fogo, a menos que o fogo seja extinto por uma ação.
Rules/&ConditionOnFireTitle	Em chamas
Rules/&ConditionParalyzedDescription	Incapaz de agir; ataques contra a criatura têm vantagem; acerto crítico automático se atacado de uma célula vizinha.
Rules/&ConditionParalyzedTitle	Paralisado
Rules/&ConditionPetrifiedDescription	Transformado em pedra; dificilmente pode ser ferido.
Rules/&ConditionPetrifiedTitle	Petrificado
Rules/&ConditionPoisonedDescription	Desvantagem em ataques e testes de habilidade.
Rules/&ConditionPoisonedTitle	Envenenado
Rules/&ConditionPossessedDescription	Controlado por um ser sobrenatural.
Rules/&ConditionPossessedTitle	Possuído
Rules/&ConditionProneDescription	Só pode se mover rastejando; vulnerável a ataques próximos.
Rules/&ConditionProneTitle	Propenso
Rules/&ConditionProtectedFromEvilTitle	Protegido do Mal e do Bem
Rules/&ConditionResistingDescription	Some + 1d4 a um teste de resistência.
Rules/&ConditionResistingTitle	Resistente
Rules/&ConditionRestrainedDescription	Incapaz de mover-se; os ataques da criatura e testes de resistência de Destreza têm desvantagem; ataques contra a criatura têm vantagem.
Rules/&ConditionRestrainedTitle	Contido
Rules/&ConditionSeeInvisibilityDescription	Pode perceber criaturas invisíveis.
Rules/&ConditionSeeInvisibilityTitle	Visão de Invisibilidade
Rules/&ConditionSeverelyWoundedDescription	Em breve morrerá.
Rules/&ConditionSeverelyWoundedTitle	Gravemente Ferido
Rules/&ConditionShieldedByFaithDescription	Classe de armadura +2.
Rules/&ConditionShieldedByFaithTitle	Protegido pela Fé
Rules/&ConditionShieldedDescription	Classe de armadura aumenta em +5 e imunidade a mísseis mágicos.
Rules/&ConditionShieldedTitle	Blindado
Rules/&ConditionShockedDescription	Não pode usar reações.
Rules/&ConditionShockedTitle	Chocado
Rules/&ConditionSleetStormDescription	Terreno difícil; pode cair; fortemente obscurecido; deve rolar a verificação de concentração.
Rules/&ConditionSleetStormTitle	Em tempestade de granizo
Rules/&ConditionSlowedDescription	Velocidade reduzida pela metade; -2 para AC e DEX salvos; no máximo uma ação ou ação bônus; nenhuma reação; máximo de um ataque por turno; o lançamento de feitiços pode falhar.
Rules/&ConditionSlowedTitle	Retardado
Rules/&ConditionSpiderClimbDescription	Capaz de escalar como uma aranha.
Rules/&ConditionSpiderClimbTitle	Spider Climb
Rules/&ConditionSpiritGuardiansDescription	A velocidade é reduzida pela metade; pode sofrer danos no início de cada turno.
Rules/&ConditionSpiritGuardiansSelfDescription	O personagem está atualmente protegido por Guardiões Espirituais.
Rules/&ConditionSpiritGuardiansSelfTitle	Protegido por Espíritos.
Rules/&ConditionSpiritGuardiansTitle	Alvejado por Espíritos
Rules/&ConditionStealthyDescription	Escondendo-se ativamente.
Rules/&ConditionStealthyTitle	Furtivo
Rules/&ConditionStunnedDescription	Incapaz de agir ou se mover; ataques contra criaturas têm vantagem; falha automaticamente nos testes de resistência de Força e Destreza.
Rules/&ConditionStunnedTitle	Atordoado
Rules/&ConditionSurprisedDescription	Incapaz de agir por uma rodada.
Rules/&ConditionSurprisedTitle	Surpreso
Rules/&ConditionTargetedByGuidingBoltDescription	O primeiro ataque contra esta criatura tem vantagem.
Rules/&ConditionTargetedByGuidingBoltTitle	Alvejado por parafuso guia
Rules/&ConditionTemporaryHitPointsDescription	A criatura ganha pontos de vida temporários.
Rules/&ConditionTemporaryHitPointsTitle	HP temporário
Rules/&ConditionTraditionShockArcanistArcaneFuryDescription	O dano de magias de evocação aumenta por bônus de proficiência e bônus INT.
Rules/&ConditionTraditionShockArcanistArcaneFuryTitle	Fúria Arcana
Rules/&ConditionTrueStrikeDescription	O lançador tem vantagem em seu primeiro ataque contra o alvo do feitiço.
Rules/&ConditionTrueStrikeTitle	True Strike
Rules/&ConditionTurnedDescription	Deve se afastar do rodízio.
Rules/&ConditionTurnedTitle	Transformado
Rules/&ConditionTypeBeneficialFormat	Condição Benéfica
Rules/&ConditionTypeDetrimentalFormat	Condição Prejudicial
Rules/&ConditionTypeNeutralFormat	Condição neutra
Rules/&ConditionUnconsciousDescription	Incapaz de agir até acordar.
Rules/&ConditionUnconsciousTitle	Inconsciente
Rules/&ConditionVampiricTouchDescription	Pode realizar um ataque de feitiço corpo a corpo vampírico a cada turno.
Rules/&ConditionVampiricTouchTitle	Toque vampírico
Rules/&ConditionWoundedDescription	Perdeu alguns pontos de vida.
Rules/&ConditionWoundedTitle	Ferido
Rules/&CostFormat	{0} {1}
Rules/&CounterFormBreakConcentrationFormat	Provoca uma verificação de concentração.
Rules/&CounterFormDisperseCloudFormat	Dispersa nuvens na área.
Rules/&CounterFormDissipateSpellsFormat	Feitiço até o nível {0} dissipado automaticamente, CD {1} + nível de feitiço caso contrário.
Rules/&CounterFormExtinguishLightFormat	Extingue as fontes de luz na área.
Rules/&CounterFormInterruptSpellcastingFormat	Feitiço até o nível {0} anulado automaticamente, CD {1} + nível de feitiço caso contrário.
Rules/&CounterFormRemoveDarknessFormat	Remove áreas de escuridão.
Rules/&DamageAcidDescription	O spray corrosivo do bafo de um dragão negro e as enzimas dissolvidas secretadas por um morcela causam danos por ácido.
Rules/&DamageAcidTitle	Ácido
Rules/&DamageBludgeoningDescription	Ataques de força bruta - martelos, quedas, constrição e outros - causam danos por contusão.
Rules/&DamageBludgeoningTitle	Espancamento
Rules/&DamageColdDescription	O frio infernal que irradia de uma lança do demônio de gelo e a explosão gelada do hálito de um dragão branco causam danos de frio.
Rules/&DamageColdTitle	Resfriado
Rules/&DamageFireDescription	Dragões vermelhos soltam fogo e muitos feitiços conjuram chamas para causar dano de fogo.
Rules/&DamageFireTitle	Incêndio
Rules/&DamageForceDescription	Força é pura energia mágica concentrada em uma forma prejudicial. A maioria dos efeitos que causam dano de força são feitiços, incluindo mísseis mágicos e armas espirituais.
Rules/&DamageForceTitle	Força
Rules/&DamageFormFormat	{0} {1} {2} {3} danos {4}
Rules/&DamageFormTightFormat	{0} {1} {2} {3} dmg {4}
Rules/&DamageLightningDescription	Um feitiço de raio e um sopro de dragão azul causam dano de raio.
Rules/&DamageLightningTitle	Relâmpago
Rules/&DamageNecroticDescription	Dano necrótico, causado por certos mortos-vivos e feitiços como toque frio, secam matéria e até mesmo a alma.
Rules/&DamageNecroticTitle	Necrótico
Rules/&DamagePiercingDescription	Ataques perfurantes e empalantes, incluindo lanças e mordidas de monstros, causam dano penetrante.
Rules/&DamagePiercingTitle	Piercing
Rules/&DamagePoisonDescription	Picadas venenosas e o gás tóxico do hálito de um dragão verde causam dano de veneno.
Rules/&DamagePoisonTitle	Poção
Rules/&DamagePsychicDescription	Habilidades mentais causam dano psíquico.
Rules/&DamagePsychicTitle	Psíquico
Rules/&DamageRadiantDescription	O dano radiante, causado pelo feitiço de ataque de chamas do clérigo ou pela arma de ataque de um anjo, queima a carne como fogo e sobrecarrega o espírito com poder.
Rules/&DamageRadiantTitle	Radiante
Rules/&DamageSlashingDescription	Espadas, machados e garras de monstros causam dano cortante.
Rules/&DamageSlashingTitle	Cortando
Rules/&DamageThunderDescription	Uma explosão de som concussiva, como o efeito do feitiço onda de trovão, causa dano de trovão.
Rules/&DamageThunderTitle	Trovão
Rules/&DamageTitle	Dano:
Rules/&DcFormat	DC {0}
Rules/&DieD10Title	d10
Rules/&DieD12Title	d12
Rules/&DieD1Title	d1
Rules/&DieD20Title	d20
Rules/&DieD2Title	d2
Rules/&DieD3Title	d3
Rules/&DieD4Title	d4
Rules/&DieD6Title	d6
Rules/&DieD8Title	d8
Rules/&DivinationFormFormatIdentifyItem	Revela todas as propriedades de um item.
Rules/&DivinationFormFormatListCreatureFamilyInLocation	Percebe a presença de tipos de criatura: {0}.
Rules/&DivinationFormFormatRevealEntitiesBearingTags	Revela criaturas ou objetos que são {0}.
Rules/&DurationAnyRestFormat	Até qualquer descanso
Rules/&DurationDayPluralFormat	{0} dias
Rules/&DurationDaySingleFormat	{0} dia
Rules/&DurationHourPluralFormat	{0} horas
Rules/&DurationHourSingleFormat	{0} hora
Rules/&DurationInstantaneousFormat	Instante
Rules/&DurationLessMinuteFormat	<1 min
Rules/&DurationLongRestFormat	Até um longo descanso
Rules/&DurationMinutePluralFormat	{0} minutos
Rules/&DurationMinuteSingleFormat	{0} minuto
Rules/&DurationNoneFormat	{0} rodada
Rules/&DurationPermanentFormat	Permanente
Rules/&DurationRoundPluralFormat	{0} rodadas
Rules/&DurationRoundSingleFormat	{0} rodada
Rules/&DurationShortRestFormat	Até um breve descanso
Rules/&DurationUntilEndOfSourceTurnFormat	Até o final do turno do personagem fonte.
Rules/&DurationUntilEndOfTargetTurnFormat	Até o final da vez deste personagem.
Rules/&DurationUntilStartOfSourceTurnFormat	Até o início do turno do personagem fonte.
Rules/&DurationUntilStartOfTargetTurnFormat	Até o início do turno deste personagem.
Rules/&EffectRangeDistanceTitle	{0}
Rules/&EffectRangeMeleeHitTitle	Golpe corpo a corpo
Rules/&EffectRangeRangeHitTitle	Acerto à distância {0}
Rules/&EffectRangeSelfTitle	Auto
Rules/&EffectRangeTouchTitle	Toque
Rules/&EffectTargetConeTitle	{0} {1}
Rules/&EffectTargetCubeTitle	{0} {1}
Rules/&EffectTargetCylinderTitle	{0} {1} x {2}
Rules/&EffectTargetIndividualsTitle	{0} {1}
Rules/&EffectTargetIndividualsUniqueTitle	{0} {1}
Rules/&EffectTargetInLineOfSightWithinDistanceTitle	À vista {0}
Rules/&EffectTargetItemTitle	Item
Rules/&EffectTargetLineTitle	{0} {1}
Rules/&EffectTargetPerceivingWithinDistanceTitle	{0} {1}
Rules/&EffectTargetPositionTitle	Chão
Rules/&EffectTargetSelfTitle	Auto
Rules/&EffectTargetSharedAmongIndividualsTitle	{0} <> {1}
Rules/&EffectTargetSphereTitle	{0} {1}
Rules/&EffectTargetWallLineTitle	{0} {1} x {2}
Rules/&EffectTargetWallRingTitle	{0} {1} x {2}
Rules/&HealingFormFormat	{0} {1} {2} cura
Rules/&HealingStabilize	Estabiliza uma criatura moribunda.
Rules/&HeightFormatFeet	{0} '
Rules/&HeightFormatFeetInches	{0} '{1} "; {0}' {1} ''; {0} '{1}"
Rules/&HeightFormatInches	{0} "; {0} ''; {0}"
Rules/&ItemPropertyFormFormat	No item alvo:\n{0}
Rules/&LightSourceFormFormat	fonte de luz: {0} claro + {1} escuro
Rules/&MaterialComponentTitle	M
Rules/&MotionFormLevitateFormat	Levite {0}
Rules/&MotionFormPullFormat	Puxe {0}
Rules/&MotionFormPushFormat	Afaste-se {0}
Rules/&MotionFormTeleportFormat	Teletransportar {0}
Rules/&RateAtWillFormatTitle	à vontade
Rules/&RateChannelDivinityFormatTitle	breve descanso
Rules/&Rated6FormatTitle	em 5 ou 6 em 1d6
Rules/&RateDawnFormatTitle	alvorecer
Rules/&RateHealingPoolFormatTitle	piscina de cura
Rules/&RateLongRestFormatTitle	longo descanso
Rules/&RateNoneFormatTitle	Nenhum
Rules/&RateOneMinuteFormatTitle	todo minuto
Rules/&RateShortRestFormatTitle	breve descanso
Rules/&RateSpellSlotFormatTitle	slots de feitiço
Rules/&RecipeRequiredIngredientMultipleFormat	{0} x {1}
Rules/&RecipeRequiredIngredientSingleFormat	{0}
Rules/&RecipeRequiredSpellFormat	Capacidade de lançar o feitiço {0}.
Rules/&RecipeRequiredTooltypeFormat	Proficiência com {0}
Rules/&SaveAffinityHalfDamageTitle	(salvar para {0})
Rules/&SaveAffinityNegateAndCancelEachTurnTitle	(salve cada vez para cancelar)
Rules/&SaveAffinityNegateTitle	(salve para negar)
Rules/&SituationalContextAttackerAwayFromTargetFormat	Se o invasor estiver longe do alvo:
Rules/&SituationalContextAttackerNextToTargetFormat	Se o invasor estiver próximo ao alvo:
Rules/&SituationalContextAttackerOnHigherGroundThanTargetFormat	Se o invasor estiver em um terreno mais alto:
Rules/&SituationalContextConsciousAllyNextToTargetFormat	se o atacante tiver um aliado consciente próximo ao alvo:
Rules/&SituationalContextNextToWallFormat	se a criatura estiver próxima a uma parede:
Rules/&SituationalContextTargetIsEffectSourceFormat	se a criatura está atacando a fonte do efeito:
Rules/&SomaticComponentTitle	S
Rules/&SpellLevel0FormatTitle	Truque
Rules/&SpellLevel1FormatTitle	1º nível
Rules/&SpellLevel2FormatTitle	2º nível
Rules/&SpellLevel3FormatTitle	3º nível
Rules/&SpellLevel4FormatTitle	4º nível
Rules/&SpellLevel5FormatTitle	5º nível
Rules/&SpellLevel6FormatTitle	6º nível
Rules/&SpellLevel7FormatTitle	7º nível
Rules/&SpellLevel8FormatTitle	8º nível
Rules/&SpellLevel9FormatTitle	9º nível
Rules/&SpellSlotFormRecoverHalfLevelUpFormat	Recupere metade do seu nível de classe (arredondado para cima) de slots de feitiços até o nível {0}.
Rules/&SummonFormCreaturesMultipleFormat	Convocar {0} (x {1}).
Rules/&SummonFormCreaturesSingleFormat	Convocar {0}.
Rules/&SummonFormEffectProxyFormat	Invoque "{0}" para você controlar
Rules/&SummonFormInventoryItemsMultipleFormat	Convocar {0} (x {1}) para o inventário
Rules/&SummonFormInventoryItemsSingleFormat	Convocar {0} para o inventário
