Modal/&AssertionFailedTtitle	Error de aserción
Modal/&ScavengerMissionLineOngoingMissionFormat	En curso: {0} restantes
Modal/&ScavengerMissionLineFinishedMissionDescription	Terminado
Modal/&ScavengerMissionModalToggleTitle	Mostrar expediciones relacionadas con el encuentro
Modal/&ScavengerLootModalTitle	Objetos recuperados durante las expediciones
Modal/&ScavengerLootModalInstructionsDescription	Haga clic en un artículo para recuperarlo en lugar de venderlo.
Modal/&ScavengerLootModalSellAllButton	Vender todo
Modal/&ScavengerLootModalSellInstructionsDescription	Tu ganas:
Modal/&DefeatStealthDescription	¡Fuiste detectado durante una etapa crítica de sigilo! Utilice el modo cauteloso y muévase con cuidado.
Modal/&QuestBoardTitle	Misiones disponibles
Modal/&QuestBoardDescription	Seleccione la misión que le gustaría aceptar y presione Iniciar.
Modal/&QuestBoardStartTitle	Comienzo
Modal/&QuestBoardStartDescription	Acepta y comienza la misión seleccionada.
Modal/&QuestInProgressTitle	En curso
Modal/&SolastaBackers	Patrocinadores de Solasta
Modal/&SelectUserLocationTitle	Selecciona una ubicación
Modal/&UserLocationSettingsTitle	Configuración de ubicación
Modal/&UserLocationSettingsApplyTitle	Solicitar
